step,layer_idx,layer_name,mean,std,min,max,frac_active,num_neurons
501,22,ElasticLinear,0.5021,0.0092,0.4801,0.5417,1.0000,768
501,23,ElasticLinear,0.4999,0.0082,0.4800,0.5251,1.0000,192
501,27,ElasticLinear,0.5036,0.0085,0.4825,0.5343,1.0000,768
501,28,ElasticLinear,0.5028,0.0071,0.4884,0.5261,1.0000,192
501,32,ElasticLinear,0.5055,0.0110,0.4760,0.5483,1.0000,768
501,33,ElasticLinear,0.5043,0.0092,0.4832,0.5362,1.0000,192
501,37,ElasticLinear,0.5053,0.0099,0.4853,0.5548,1.0000,768
501,38,ElasticLinear,0.5044,0.0075,0.4896,0.5256,1.0000,192
501,56,ElasticLinear,0.5036,0.0078,0.4843,0.5382,1.0000,768
501,57,ElasticLinear,0.5039,0.0073,0.4874,0.5238,1.0000,192
501,61,ElasticLinear,0.5036,0.0083,0.4766,0.5353,1.0000,768
501,62,ElasticLinear,0.5028,0.0081,0.4849,0.5297,1.0000,192
501,66,ElasticLinear,0.5056,0.0093,0.4818,0.5421,1.0000,768
501,67,ElasticLinear,0.5042,0.0077,0.4834,0.5319,1.0000,192
501,71,ElasticLinear,0.5040,0.0088,0.4837,0.5391,1.0000,768
501,72,ElasticLinear,0.5032,0.0081,0.4861,0.5251,1.0000,192
501,90,ElasticLinear,0.5027,0.0086,0.4823,0.5355,1.0000,768
501,91,ElasticLinear,0.5022,0.0072,0.4854,0.5235,1.0000,192
501,95,ElasticLinear,0.5054,0.0091,0.4861,0.5514,1.0000,768
501,96,ElasticLinear,0.5046,0.0080,0.4837,0.5249,1.0000,192
501,100,ElasticLinear,0.5033,0.0073,0.4847,0.5317,1.0000,768
501,101,ElasticLinear,0.5025,0.0069,0.4787,0.5238,1.0000,192
501,105,ElasticLinear,0.5036,0.0081,0.4847,0.5316,1.0000,768
501,106,ElasticLinear,0.5036,0.0081,0.4863,0.5267,1.0000,192
501,124,ElasticLinear,0.5023,0.0079,0.4801,0.5339,1.0000,768
501,125,ElasticLinear,0.5011,0.0074,0.4827,0.5221,1.0000,192
501,129,ElasticLinear,0.5031,0.0084,0.4829,0.5349,1.0000,768
501,130,ElasticLinear,0.5015,0.0081,0.4802,0.5239,1.0000,192
501,134,ElasticLinear,0.5027,0.0070,0.4839,0.5310,1.0000,768
501,135,ElasticLinear,0.5027,0.0076,0.4839,0.5300,1.0000,192
501,139,ElasticLinear,0.5041,0.0087,0.4837,0.5423,1.0000,768
501,140,ElasticLinear,0.5044,0.0087,0.4792,0.5329,1.0000,192
1001,22,ElasticLinear,-25.5355,44.0659,-100.0000,0.5523,0.7409,768
1001,23,ElasticLinear,-25.1446,43.9326,-100.0000,0.5333,0.7448,192
1001,27,ElasticLinear,-25.5323,44.0678,-100.0000,0.5670,0.7409,768
1001,28,ElasticLinear,-25.1418,43.9343,-100.0000,0.5363,0.7448,192
1001,32,ElasticLinear,-25.5314,44.0683,-100.0000,0.5612,0.7409,768
1001,33,ElasticLinear,-25.1403,43.9352,-100.0000,0.5463,0.7448,192
1001,37,ElasticLinear,-25.5312,44.0685,-100.0000,0.5734,0.7409,768
1001,38,ElasticLinear,-25.1395,43.9356,-100.0000,0.5334,0.7448,192
1001,56,ElasticLinear,-25.5334,44.0671,-100.0000,0.5571,0.7409,768
1001,57,ElasticLinear,-25.1409,43.9348,-100.0000,0.5351,0.7448,192
1001,61,ElasticLinear,-25.5324,44.0678,-100.0000,0.5573,0.7409,768
1001,62,ElasticLinear,-25.1408,43.9349,-100.0000,0.5328,0.7448,192
1001,66,ElasticLinear,-25.5337,44.0670,-100.0000,0.5500,0.7409,768
1001,67,ElasticLinear,-25.1421,43.9341,-100.0000,0.5401,0.7448,192
1001,71,ElasticLinear,-25.5330,44.0674,-100.0000,0.5611,0.7409,768
1001,72,ElasticLinear,-25.1416,43.9344,-100.0000,0.5312,0.7448,192
1001,90,ElasticLinear,-25.5328,44.0675,-100.0000,0.5559,0.7409,768
1001,91,ElasticLinear,-25.1414,43.9345,-100.0000,0.5328,0.7448,192
1001,95,ElasticLinear,-25.5321,44.0679,-100.0000,0.5569,0.7409,768
1001,96,ElasticLinear,-25.1403,43.9351,-100.0000,0.5346,0.7448,192
1001,100,ElasticLinear,-25.5340,44.0668,-100.0000,0.5490,0.7409,768
1001,101,ElasticLinear,-25.1419,43.9342,-100.0000,0.5313,0.7448,192
1001,105,ElasticLinear,-25.5351,44.0662,-100.0000,0.5475,0.7409,768
1001,106,ElasticLinear,-25.1421,43.9341,-100.0000,0.5309,0.7448,192
1001,124,ElasticLinear,-25.5352,44.0661,-100.0000,0.5428,0.7409,768
1001,125,ElasticLinear,-25.1434,43.9333,-100.0000,0.5270,0.7448,192
1001,129,ElasticLinear,-25.5340,44.0668,-100.0000,0.5455,0.7409,768
1001,130,ElasticLinear,-25.1422,43.9340,-100.0000,0.5305,0.7448,192
1001,134,ElasticLinear,-25.5334,44.0671,-100.0000,0.5420,0.7409,768
1001,135,ElasticLinear,-25.1403,43.9352,-100.0000,0.5402,0.7448,192
1001,139,ElasticLinear,-25.5333,44.0672,-100.0000,0.5563,0.7409,768
1001,140,ElasticLinear,-25.1401,43.9353,-100.0000,0.5441,0.7448,192
1501,22,ElasticLinear,-44.1142,49.9744,-100.0000,0.5712,0.5560,768
1501,23,ElasticLinear,-43.9850,50.0560,-100.0000,0.5413,0.5573,192
1501,27,ElasticLinear,-44.1115,49.9768,-100.0000,0.5769,0.5560,768
1501,28,ElasticLinear,-43.9819,50.0587,-100.0000,0.5414,0.5573,192
1501,32,ElasticLinear,-44.1119,49.9765,-100.0000,0.5733,0.5560,768
1501,33,ElasticLinear,-43.9818,50.0588,-100.0000,0.5519,0.5573,192
1501,37,ElasticLinear,-44.1111,49.9772,-100.0000,0.5804,0.5560,768
1501,38,ElasticLinear,-43.9806,50.0599,-100.0000,0.5410,0.5573,192
1501,56,ElasticLinear,-44.1138,49.9748,-100.0000,0.5659,0.5560,768
1501,57,ElasticLinear,-43.9836,50.0573,-100.0000,0.5397,0.5573,192
1501,61,ElasticLinear,-44.1123,49.9761,-100.0000,0.5683,0.5560,768
1501,62,ElasticLinear,-43.9822,50.0584,-100.0000,0.5414,0.5573,192
1501,66,ElasticLinear,-44.1143,49.9744,-100.0000,0.5568,0.5560,768
1501,67,ElasticLinear,-43.9846,50.0563,-100.0000,0.5450,0.5573,192
1501,71,ElasticLinear,-44.1132,49.9753,-100.0000,0.5629,0.5560,768
1501,72,ElasticLinear,-43.9835,50.0573,-100.0000,0.5385,0.5573,192
1501,90,ElasticLinear,-44.1132,49.9753,-100.0000,0.5653,0.5560,768
1501,91,ElasticLinear,-43.9841,50.0568,-100.0000,0.5379,0.5573,192
1501,95,ElasticLinear,-44.1124,49.9760,-100.0000,0.5645,0.5560,768
1501,96,ElasticLinear,-43.9826,50.0581,-100.0000,0.5376,0.5573,192
1501,100,ElasticLinear,-44.1148,49.9739,-100.0000,0.5604,0.5560,768
1501,101,ElasticLinear,-43.9844,50.0565,-100.0000,0.5388,0.5573,192
1501,105,ElasticLinear,-44.1156,49.9732,-100.0000,0.5582,0.5560,768
1501,106,ElasticLinear,-43.9843,50.0566,-100.0000,0.5314,0.5573,192
1501,124,ElasticLinear,-44.1152,49.9735,-100.0000,0.5625,0.5560,768
1501,125,ElasticLinear,-43.9849,50.0560,-100.0000,0.5279,0.5573,192
1501,129,ElasticLinear,-44.1148,49.9739,-100.0000,0.5548,0.5560,768
1501,130,ElasticLinear,-43.9843,50.0566,-100.0000,0.5357,0.5573,192
1501,134,ElasticLinear,-44.1131,49.9754,-100.0000,0.5563,0.5560,768
1501,135,ElasticLinear,-43.9816,50.0590,-100.0000,0.5450,0.5573,192
1501,139,ElasticLinear,-44.1138,49.9747,-100.0000,0.5613,0.5560,768
1501,140,ElasticLinear,-43.9823,50.0584,-100.0000,0.5407,0.5573,192
2001,22,ElasticLinear,-56.6756,49.8130,-100.0000,0.5876,0.4310,768
2001,23,ElasticLinear,-56.5459,49.9274,-100.0000,0.5436,0.4323,192
2001,27,ElasticLinear,-56.6739,49.8149,-100.0000,0.5828,0.4310,768
2001,28,ElasticLinear,-56.5432,49.9305,-100.0000,0.5526,0.4323,192
2001,32,ElasticLinear,-56.6741,49.8147,-100.0000,0.5945,0.4310,768
2001,33,ElasticLinear,-56.5435,49.9301,-100.0000,0.5567,0.4323,192
2001,37,ElasticLinear,-56.6727,49.8162,-100.0000,0.5756,0.4310,768
2001,38,ElasticLinear,-56.5418,49.9321,-100.0000,0.5542,0.4323,192
2001,56,ElasticLinear,-56.6761,49.8124,-100.0000,0.5680,0.4310,768
2001,57,ElasticLinear,-56.5456,49.9278,-100.0000,0.5453,0.4323,192
2001,61,ElasticLinear,-56.6741,49.8147,-100.0000,0.5713,0.4310,768
2001,62,ElasticLinear,-56.5430,49.9307,-100.0000,0.5503,0.4323,192
2001,66,ElasticLinear,-56.6762,49.8123,-100.0000,0.5587,0.4310,768
2001,67,ElasticLinear,-56.5459,49.9274,-100.0000,0.5467,0.4323,192
2001,71,ElasticLinear,-56.6752,49.8134,-100.0000,0.5677,0.4310,768
2001,72,ElasticLinear,-56.5449,49.9286,-100.0000,0.5434,0.4323,192
2001,90,ElasticLinear,-56.6755,49.8131,-100.0000,0.5697,0.4310,768
2001,91,ElasticLinear,-56.5454,49.9280,-100.0000,0.5450,0.4323,192
2001,95,ElasticLinear,-56.6749,49.8137,-100.0000,0.5747,0.4310,768
2001,96,ElasticLinear,-56.5443,49.9292,-100.0000,0.5461,0.4323,192
2001,100,ElasticLinear,-56.6773,49.8110,-100.0000,0.5710,0.4310,768
2001,101,ElasticLinear,-56.5465,49.9267,-100.0000,0.5470,0.4323,192
2001,105,ElasticLinear,-56.6775,49.8107,-100.0000,0.5615,0.4310,768
2001,106,ElasticLinear,-56.5466,49.9265,-100.0000,0.5379,0.4323,192
2001,124,ElasticLinear,-56.6771,49.8112,-100.0000,0.5651,0.4310,768
2001,125,ElasticLinear,-56.5464,49.9268,-100.0000,0.5352,0.4323,192
2001,129,ElasticLinear,-56.6769,49.8114,-100.0000,0.5568,0.4310,768
2001,130,ElasticLinear,-56.5457,49.9276,-100.0000,0.5405,0.4323,192
2001,134,ElasticLinear,-56.6753,49.8133,-100.0000,0.5618,0.4310,768
2001,135,ElasticLinear,-56.5432,49.9305,-100.0000,0.5493,0.4323,192
2001,139,ElasticLinear,-56.6761,49.8124,-100.0000,0.5646,0.4310,768
2001,140,ElasticLinear,-56.5448,49.9287,-100.0000,0.5503,0.4323,192
2501,22,ElasticLinear,-64.2653,48.1498,-100.0000,0.5993,0.3555,768
2501,23,ElasticLinear,-63.8722,48.3619,-100.0000,0.5522,0.3594,192
2501,27,ElasticLinear,-64.2640,48.1515,-100.0000,0.5905,0.3555,768
2501,28,ElasticLinear,-63.8704,48.3643,-100.0000,0.5622,0.3594,192
2501,32,ElasticLinear,-64.2639,48.1517,-100.0000,0.6098,0.3555,768
2501,33,ElasticLinear,-63.8710,48.3635,-100.0000,0.5613,0.3594,192
2501,37,ElasticLinear,-64.2628,48.1532,-100.0000,0.5801,0.3555,768
2501,38,ElasticLinear,-63.8691,48.3661,-100.0000,0.5618,0.3594,192
2501,56,ElasticLinear,-64.2660,48.1488,-100.0000,0.5704,0.3555,768
2501,57,ElasticLinear,-63.8734,48.3603,-100.0000,0.5505,0.3594,192
2501,61,ElasticLinear,-64.2641,48.1514,-100.0000,0.5716,0.3555,768
2501,62,ElasticLinear,-63.8707,48.3639,-100.0000,0.5551,0.3594,192
2501,66,ElasticLinear,-64.2658,48.1491,-100.0000,0.5649,0.3555,768
2501,67,ElasticLinear,-63.8732,48.3606,-100.0000,0.5479,0.3594,192
2501,71,ElasticLinear,-64.2648,48.1505,-100.0000,0.5701,0.3555,768
2501,72,ElasticLinear,-63.8724,48.3617,-100.0000,0.5524,0.3594,192
2501,90,ElasticLinear,-64.2651,48.1501,-100.0000,0.5799,0.3555,768
2501,91,ElasticLinear,-63.8727,48.3613,-100.0000,0.5490,0.3594,192
2501,95,ElasticLinear,-64.2648,48.1504,-100.0000,0.5733,0.3555,768
2501,96,ElasticLinear,-63.8717,48.3626,-100.0000,0.5539,0.3594,192
2501,100,ElasticLinear,-64.2669,48.1476,-100.0000,0.5807,0.3555,768
2501,101,ElasticLinear,-63.8740,48.3595,-100.0000,0.5473,0.3594,192
2501,105,ElasticLinear,-64.2672,48.1472,-100.0000,0.5688,0.3555,768
2501,106,ElasticLinear,-63.8741,48.3594,-100.0000,0.5450,0.3594,192
2501,124,ElasticLinear,-64.2665,48.1481,-100.0000,0.5703,0.3555,768
2501,125,ElasticLinear,-63.8735,48.3602,-100.0000,0.5442,0.3594,192
2501,129,ElasticLinear,-64.2668,48.1478,-100.0000,0.5593,0.3555,768
2501,130,ElasticLinear,-63.8734,48.3603,-100.0000,0.5443,0.3594,192
2501,134,ElasticLinear,-64.2650,48.1502,-100.0000,0.5676,0.3555,768
2501,135,ElasticLinear,-63.8707,48.3639,-100.0000,0.5551,0.3594,192
