step,train_loss,task_loss,val_loss,val_accuracy,lr
501,1.973504,1.923254,2.030210,0.259400,3.96e-05
1001,1.750498,1.700281,1.869992,0.330200,1.12e-04
1501,1.933340,1.883251,1.548847,0.435600,2.01e-04
2001,1.330305,1.280018,1.374497,0.497300,2.73e-04
2501,1.487792,1.437664,1.306429,0.529000,3.00e-04
3001,1.330526,1.280440,1.285385,0.536400,3.00e-04
3501,1.025380,0.975142,1.192368,0.566500,3.00e-04
4001,1.340428,1.290210,1.206029,0.570600,2.99e-04
4501,1.008432,0.958355,1.133213,0.592000,2.99e-04
5001,1.074835,1.024726,1.093165,0.612400,2.98e-04
5501,1.116439,1.066362,1.096678,0.601800,2.97e-04
6001,1.324433,1.274297,1.035790,0.629000,2.96e-04
6501,1.314718,1.264648,1.000470,0.646200,2.95e-04
7001,1.025366,0.975156,0.983210,0.650900,2.93e-04
7501,1.078343,1.028259,1.015035,0.634000,2.92e-04
8001,1.128198,1.078141,0.947618,0.667800,2.90e-04
8501,1.007682,0.957656,0.924767,0.672100,2.88e-04
9001,0.955805,0.905766,0.942387,0.667800,2.86e-04
9501,1.172523,1.122472,0.874532,0.695800,2.84e-04
10001,1.054281,1.004172,0.903963,0.675300,2.82e-04
10501,1.104163,1.054087,0.905553,0.683600,2.79e-04
11001,1.050470,1.000387,0.855819,0.698400,2.77e-04
11501,1.200489,1.150451,0.844987,0.702700,2.74e-04
12001,0.844656,0.794592,0.836142,0.707300,2.71e-04
12501,0.866435,0.816338,0.819710,0.713300,2.68e-04
13001,1.133541,1.083422,0.828429,0.712500,2.65e-04
13501,0.992549,0.942501,0.797438,0.723300,2.62e-04
14001,1.097013,1.046914,0.783372,0.726400,2.59e-04
14501,1.022649,0.972622,0.766980,0.729200,2.55e-04
15001,0.804295,0.754244,0.791353,0.725300,2.52e-04
15501,0.849249,0.799192,0.739984,0.740800,2.48e-04
16001,0.803540,0.753528,0.744688,0.741800,2.44e-04
16501,0.806615,0.756609,0.783093,0.725800,2.40e-04
17001,0.841296,0.791269,0.761428,0.733700,2.36e-04
17501,0.635202,0.585149,0.776496,0.729000,2.32e-04
18001,0.875865,0.825815,0.716919,0.749200,2.28e-04
18501,0.590344,0.540330,0.758673,0.738900,2.24e-04
19001,1.002891,0.952858,0.745466,0.743700,2.19e-04
19501,0.692888,0.642901,0.717318,0.752300,2.15e-04
20001,1.105259,1.055198,0.733794,0.744100,2.10e-04
20501,0.762431,0.712383,0.746892,0.750000,2.06e-04
21001,0.791916,0.741894,0.698747,0.759400,2.01e-04
21501,0.609263,0.559226,0.694138,0.760900,1.96e-04
22001,0.860771,0.810715,0.695809,0.760600,1.92e-04
22501,0.579811,0.529799,0.694865,0.761100,1.87e-04
23001,0.833801,0.783756,0.701586,0.757100,1.82e-04
23501,0.569125,0.519115,0.688414,0.764100,1.77e-04
24001,0.858398,0.808385,0.656408,0.773900,1.72e-04
24501,0.592905,0.542891,0.665043,0.769000,1.67e-04
25001,0.602413,0.552407,0.664226,0.775600,1.62e-04
25501,0.674871,0.624857,0.683612,0.768200,1.57e-04
26001,0.947987,0.897951,0.662011,0.777900,1.52e-04
26501,1.043006,0.993002,0.659879,0.774700,1.48e-04
27001,0.669152,0.619143,0.678605,0.764200,1.43e-04
27501,0.473996,0.423972,0.641704,0.777700,1.38e-04
28001,0.610197,0.560187,0.634943,0.785200,1.33e-04
28501,0.771830,0.721827,0.623979,0.787400,1.28e-04
29001,0.639441,0.589409,0.633268,0.785700,1.23e-04
29501,1.038092,0.988053,0.638595,0.783400,1.18e-04
30001,0.683036,0.633030,0.631447,0.784400,1.13e-04
30501,0.552838,0.502835,0.655761,0.778000,1.08e-04
31001,0.548978,0.498968,0.633687,0.783000,1.04e-04
31501,0.894161,0.844154,0.636346,0.783700,9.89e-05
32001,0.706231,0.656223,0.626139,0.790200,9.43e-05
32501,0.716074,0.666074,0.616633,0.790100,8.97e-05
33001,0.673019,0.622997,0.615115,0.789600,8.52e-05
33501,0.744567,0.694560,0.619778,0.793000,8.08e-05
34001,0.865312,0.815310,0.602192,0.795500,7.64e-05
34501,0.617809,0.567812,0.601606,0.800400,7.21e-05
35001,0.701994,0.651978,0.603056,0.796100,6.79e-05
35501,0.599611,0.549600,0.609471,0.795900,6.38e-05
36001,0.696445,0.646424,0.604034,0.798500,5.98e-05
36501,0.606288,0.556276,0.594391,0.797900,5.59e-05
37001,0.617351,0.567348,0.594755,0.802200,5.21e-05
37501,0.499902,0.449904,0.595135,0.804200,4.84e-05
38001,0.533750,0.483738,0.586532,0.806100,4.48e-05
38501,0.688494,0.638502,0.602679,0.799000,4.13e-05
39001,0.708983,0.658975,0.587351,0.804900,3.80e-05
39501,0.781243,0.731239,0.586648,0.801900,3.47e-05
40001,0.358644,0.308649,0.581395,0.804200,3.16e-05
40501,0.586454,0.536446,0.583296,0.803900,2.86e-05
41001,0.814374,0.764376,0.574428,0.807700,2.58e-05
41501,0.661906,0.611900,0.585264,0.804100,2.31e-05
42001,0.679858,0.629855,0.577619,0.805300,2.05e-05
42501,0.681456,0.631457,0.579636,0.806500,1.81e-05
43001,0.685887,0.635884,0.579740,0.806600,1.58e-05
43501,0.448530,0.398531,0.570773,0.811500,1.36e-05
44001,0.636600,0.586602,0.583020,0.807100,1.17e-05
44501,0.536238,0.486237,0.575368,0.809000,9.81e-06
45001,0.689258,0.639251,0.572874,0.810200,8.12e-06
45501,0.684765,0.634769,0.572220,0.810600,6.59e-06
46001,0.526274,0.476277,0.575095,0.808300,5.21e-06
46501,0.375522,0.325517,0.575693,0.805200,4.00e-06
47001,0.505387,0.455380,0.572690,0.807500,2.94e-06
47501,0.669437,0.619443,0.574555,0.806300,2.04e-06
48001,0.496350,0.446351,0.573768,0.807600,1.31e-06
48501,0.617293,0.567293,0.574355,0.807800,7.37e-07
49001,0.622212,0.572215,0.574274,0.808400,3.28e-07
49501,0.775356,0.725351,0.573429,0.808800,8.26e-08
