step,train_loss,task_loss,val_loss,val_accuracy,lr
501,1.921429,1.871483,1.958810,0.274625,3.96e-05
1001,1.877886,1.827456,1.676609,0.353875,1.12e-04
1501,1.328154,1.276929,1.462877,0.447875,2.01e-04
2001,1.498079,1.447686,1.322581,0.499625,2.73e-04
2501,1.183738,1.133405,1.340536,0.497750,3.00e-04
3001,1.505295,1.455125,1.210532,0.545875,3.00e-04
3501,1.027910,0.977641,1.243391,0.549125,3.00e-04
4001,1.161045,1.110928,1.196530,0.563375,2.99e-04
4501,1.128363,1.078198,1.159928,0.581375,2.99e-04
5001,0.921819,0.871616,1.116862,0.596250,2.98e-04
5501,1.011684,0.961500,1.181528,0.583000,2.97e-04
6001,1.034175,0.984031,1.144327,0.599875,2.96e-04
6501,1.024590,0.974543,1.176630,0.590250,2.95e-04
7001,0.813595,0.763546,1.111109,0.608125,2.93e-04
7501,0.991447,0.941205,1.109647,0.620625,2.92e-04
8001,0.626673,0.576510,1.071558,0.639250,2.90e-04
8501,0.687709,0.637521,1.223551,0.602125,2.88e-04
9001,0.820305,0.770140,1.067150,0.645875,2.86e-04
9501,0.991818,0.941680,1.120110,0.637375,2.84e-04
10001,0.578728,0.528662,1.145356,0.629875,2.82e-04
10501,0.530104,0.480098,1.214610,0.620625,2.79e-04
11001,0.545821,0.495742,1.141876,0.637375,2.77e-04
11501,0.647002,0.596927,1.277159,0.619375,2.74e-04
12001,0.552144,0.502075,1.252923,0.622625,2.71e-04
12501,0.731601,0.681522,1.193599,0.636125,2.68e-04
13001,0.634673,0.584580,1.235434,0.636500,2.65e-04
13501,0.577080,0.527017,1.291099,0.636750,2.62e-04
14001,0.305713,0.255640,1.380650,0.618875,2.59e-04
14501,0.622137,0.572101,1.391569,0.625625,2.55e-04
15001,0.431970,0.381955,1.399508,0.627000,2.52e-04
15501,0.233074,0.182884,1.426153,0.633500,2.48e-04
16001,0.367979,0.317893,1.426506,0.635500,2.44e-04
16501,0.373550,0.323470,1.442736,0.645000,2.40e-04
17001,0.487152,0.437100,1.489774,0.637750,2.36e-04
17501,0.350896,0.300863,1.541422,0.641750,2.32e-04
18001,0.231667,0.181629,1.510587,0.639875,2.28e-04
18501,0.321392,0.271363,1.537070,0.641000,2.24e-04
19001,0.227546,0.177496,1.533944,0.658250,2.19e-04
19501,0.418149,0.368120,1.537629,0.651250,2.15e-04
20001,0.158094,0.108059,1.614135,0.640625,2.10e-04
20501,0.300973,0.250909,1.652944,0.642250,2.06e-04
21001,0.170500,0.120473,1.700532,0.641750,2.01e-04
21501,0.276612,0.226577,1.667692,0.649375,1.96e-04
22001,0.108442,0.058383,1.724453,0.652125,1.92e-04
22501,0.126323,0.076292,1.733245,0.643250,1.87e-04
23001,0.274468,0.224442,1.799515,0.638375,1.82e-04
23501,0.203867,0.153810,1.755638,0.646500,1.77e-04
24001,0.355114,0.305061,1.750001,0.647875,1.72e-04
24501,0.253681,0.203644,1.776383,0.645250,1.67e-04
25001,0.516143,0.466113,1.827834,0.646625,1.62e-04
25501,0.241538,0.191466,1.878522,0.643875,1.57e-04
26001,0.273900,0.223895,1.842408,0.653500,1.52e-04
26501,0.171745,0.121731,1.914206,0.647625,1.48e-04
27001,0.206500,0.156469,1.910174,0.641000,1.43e-04
27501,0.340530,0.290457,1.970370,0.636375,1.38e-04
28001,0.170137,0.120097,1.980413,0.644000,1.33e-04
28501,0.165350,0.115347,1.986132,0.645500,1.28e-04
29001,0.066151,0.016140,1.998818,0.646250,1.23e-04
29501,0.149428,0.099420,2.024957,0.644500,1.18e-04
30001,0.201769,0.151758,2.033353,0.651125,1.13e-04
30501,0.097756,0.047732,2.016855,0.650875,1.08e-04
31001,0.074898,0.024848,2.085565,0.646125,1.04e-04
31501,0.133878,0.083870,2.124632,0.654625,9.89e-05
32001,0.124977,0.074936,2.132188,0.655000,9.43e-05
32501,0.167042,0.117027,2.169004,0.651750,8.97e-05
33001,0.115386,0.065363,2.152723,0.649500,8.52e-05
33501,0.156679,0.106667,2.182014,0.652750,8.08e-05
34001,0.155892,0.105863,2.286190,0.648750,7.64e-05
34501,0.139744,0.089722,2.305824,0.643375,7.21e-05
35001,0.168153,0.118111,2.304400,0.647375,6.79e-05
35501,0.158382,0.108365,2.337668,0.650125,6.38e-05
36001,0.114844,0.064830,2.297784,0.654500,5.98e-05
36501,0.135827,0.085823,2.349490,0.654875,5.59e-05
37001,0.096938,0.046937,2.385752,0.647875,5.21e-05
37501,0.068530,0.018527,2.394423,0.656250,4.84e-05
38001,0.137275,0.087268,2.369603,0.656250,4.48e-05
38501,0.160196,0.110189,2.364538,0.660750,4.13e-05
39001,0.086636,0.036614,2.418530,0.652125,3.80e-05
39501,0.075153,0.025140,2.420329,0.656750,3.47e-05
40001,0.077522,0.027519,2.427461,0.659125,3.16e-05
40501,0.058280,0.008278,2.434693,0.660375,2.86e-05
41001,0.050654,0.000639,2.495691,0.655125,2.58e-05
41501,0.108305,0.058300,2.473275,0.658750,2.31e-05
42001,0.071024,0.021020,2.482554,0.661375,2.05e-05
42501,0.108935,0.058927,2.500635,0.660000,1.81e-05
43001,0.153389,0.103385,2.496451,0.660375,1.58e-05
43501,0.062597,0.012590,2.496155,0.660375,1.36e-05
44001,0.079150,0.029150,2.529465,0.657250,1.17e-05
44501,0.063417,0.013404,2.501494,0.659750,9.81e-06
45001,0.061197,0.011198,2.525606,0.659875,8.12e-06
45501,0.057517,0.007514,2.519236,0.662000,6.59e-06
46001,0.111709,0.061708,2.522007,0.657500,5.21e-06
46501,0.062641,0.012634,2.518935,0.658750,4.00e-06
47001,0.069444,0.019450,2.528693,0.658375,2.94e-06
47501,0.134360,0.084359,2.526305,0.658750,2.04e-06
48001,0.069052,0.019048,2.524125,0.660500,1.31e-06
48501,0.093581,0.043581,2.529137,0.659375,7.37e-07
49001,0.091634,0.041636,2.525504,0.659750,3.28e-07
49501,0.069396,0.019393,2.526452,0.659750,8.26e-08
