step,train_loss,task_loss,val_loss,val_accuracy,lr
501,4.352398,4.302100,4.337812,0.047000,3.96e-05
1001,4.219160,4.168496,4.057577,0.075100,1.12e-04
1501,3.686457,3.636260,3.636831,0.137600,2.01e-04
2001,3.363878,3.313476,3.353820,0.182300,2.73e-04
2501,3.197697,3.147392,3.156720,0.212200,3.00e-04
3001,2.831137,2.781003,2.974331,0.254300,3.00e-04
3501,2.944567,2.894430,2.882037,0.278400,3.00e-04
4001,2.489632,2.439584,2.724860,0.304100,2.99e-04
4501,2.946250,2.896121,2.614851,0.320300,2.99e-04
5001,2.483273,2.432955,2.523933,0.341100,2.98e-04
5501,3.103612,3.053564,2.461957,0.357500,2.97e-04
6001,2.493565,2.443503,2.395992,0.366800,2.96e-04
6501,2.441674,2.391528,2.361681,0.380100,2.95e-04
7001,2.600098,2.550001,2.295025,0.390700,2.93e-04
7501,2.285686,2.235637,2.252452,0.402300,2.92e-04
8001,2.629361,2.579298,2.221055,0.410100,2.90e-04
8501,1.866952,1.816774,2.139306,0.423200,2.88e-04
9001,2.239488,2.189394,2.107300,0.432100,2.86e-04
9501,2.148567,2.098515,2.123099,0.432200,2.84e-04
10001,2.108136,2.058047,2.047689,0.448900,2.82e-04
10501,2.095127,2.045108,2.058776,0.445300,2.79e-04
11001,1.831255,1.781212,1.995589,0.460500,2.77e-04
11501,1.663486,1.613409,1.972050,0.469600,2.74e-04
12001,1.955931,1.905913,1.939804,0.469100,2.71e-04
12501,2.247017,2.196967,1.958424,0.468300,2.68e-04
13001,1.878994,1.828979,1.944737,0.472500,2.65e-04
13501,1.863678,1.813635,1.926246,0.479400,2.62e-04
14001,1.511314,1.461258,1.840814,0.498900,2.59e-04
14501,1.664828,1.614762,1.864269,0.492700,2.55e-04
15001,1.740484,1.690428,1.817749,0.509200,2.52e-04
15501,1.737270,1.687236,1.792258,0.513100,2.48e-04
16001,1.726516,1.676451,1.786443,0.516600,2.44e-04
16501,1.787887,1.737857,1.799772,0.504900,2.40e-04
17001,1.613949,1.563880,1.807751,0.509900,2.36e-04
17501,1.562066,1.512022,1.741290,0.530500,2.32e-04
18001,1.398302,1.348271,1.763828,0.521600,2.28e-04
18501,1.427464,1.377431,1.732313,0.527600,2.24e-04
19001,1.519250,1.469203,1.752228,0.525000,2.19e-04
19501,1.376386,1.326372,1.716733,0.534300,2.15e-04
20001,1.432827,1.382800,1.706985,0.532100,2.10e-04
20501,1.191681,1.141633,1.717988,0.536200,2.06e-04
21001,1.319862,1.269790,1.763584,0.528100,2.01e-04
21501,1.774368,1.724351,1.708487,0.540300,1.96e-04
22001,1.057002,1.006974,1.687663,0.544100,1.92e-04
22501,1.109411,1.059340,1.670235,0.549900,1.87e-04
23001,1.429600,1.379570,1.740954,0.538700,1.82e-04
23501,1.392361,1.342309,1.679020,0.550800,1.77e-04
24001,1.419665,1.369645,1.656005,0.552100,1.72e-04
24501,1.499185,1.449162,1.671716,0.552500,1.67e-04
25001,0.935092,0.885065,1.642855,0.560200,1.62e-04
25501,1.361011,1.310996,1.664310,0.558400,1.57e-04
26001,1.106965,1.056948,1.663290,0.557800,1.52e-04
26501,1.162461,1.112446,1.639982,0.566500,1.48e-04
27001,0.840990,0.790966,1.659532,0.561800,1.43e-04
27501,1.153728,1.103727,1.648345,0.563600,1.38e-04
28001,0.799026,0.748962,1.642576,0.565900,1.33e-04
28501,1.263714,1.213703,1.641433,0.563900,1.28e-04
29001,0.798016,0.747997,1.635695,0.570800,1.23e-04
29501,0.931572,0.881541,1.683539,0.560800,1.18e-04
30001,1.253136,1.203110,1.651605,0.565300,1.13e-04
30501,0.945624,0.895615,1.663933,0.565200,1.08e-04
31001,1.158364,1.108360,1.663733,0.569600,1.04e-04
31501,1.178685,1.128668,1.650490,0.570100,9.89e-05
32001,0.993812,0.943809,1.642368,0.576500,9.43e-05
32501,0.584525,0.534522,1.632530,0.580200,8.97e-05
33001,1.241573,1.191553,1.647663,0.581400,8.52e-05
33501,0.755552,0.705544,1.640789,0.576600,8.08e-05
34001,0.740686,0.690674,1.657956,0.576100,7.64e-05
34501,0.860759,0.810742,1.650971,0.576000,7.21e-05
35001,1.116898,1.066889,1.667385,0.577000,6.79e-05
35501,0.787024,0.737014,1.657478,0.582300,6.38e-05
36001,0.800382,0.750382,1.643814,0.584500,5.98e-05
36501,1.039351,0.989349,1.651842,0.581800,5.59e-05
37001,1.169470,1.119448,1.664314,0.579600,5.21e-05
37501,0.984746,0.934747,1.649574,0.579900,4.84e-05
38001,0.583935,0.533924,1.657027,0.583200,4.48e-05
38501,0.542798,0.492784,1.653596,0.587900,4.13e-05
39001,0.488273,0.438268,1.668179,0.585400,3.80e-05
39501,0.672698,0.622692,1.659123,0.584100,3.47e-05
40001,0.709781,0.659765,1.667363,0.585700,3.16e-05
40501,0.712904,0.662893,1.652523,0.590500,2.86e-05
41001,0.524337,0.474328,1.664042,0.586600,2.58e-05
41501,0.669646,0.619632,1.672136,0.587400,2.31e-05
42001,0.760882,0.710873,1.675295,0.587000,2.05e-05
42501,0.619680,0.569675,1.665096,0.588900,1.81e-05
43001,0.648936,0.598923,1.663555,0.587600,1.58e-05
43501,0.542580,0.492581,1.663429,0.590000,1.36e-05
44001,0.642301,0.592298,1.663190,0.589900,1.17e-05
44501,0.377804,0.327782,1.664770,0.589700,9.81e-06
45001,0.626963,0.576963,1.666072,0.591900,8.12e-06
45501,0.803037,0.753033,1.657778,0.593100,6.59e-06
46001,0.531027,0.481029,1.656731,0.593600,5.21e-06
46501,0.733596,0.683598,1.656102,0.592400,4.00e-06
47001,0.382950,0.332943,1.657961,0.593600,2.94e-06
47501,0.558903,0.508896,1.657348,0.593400,2.04e-06
48001,0.632818,0.582820,1.656683,0.592900,1.31e-06
48501,0.528616,0.478615,1.656041,0.593100,7.37e-07
49001,0.675621,0.625622,1.656085,0.591900,3.28e-07
49501,0.514145,0.464153,1.656163,0.593200,8.26e-08
