step,train_loss,task_loss,val_loss,val_accuracy,lr
501,5.199706,5.149459,5.149672,0.021100,3.96e-05
1001,5.030042,4.979224,4.943063,0.032700,1.12e-04
1501,4.680908,4.630301,4.652313,0.063600,2.01e-04
2001,4.448629,4.398208,4.406411,0.087000,2.73e-04
2501,4.376454,4.326164,4.232351,0.109400,3.00e-04
3001,4.434114,4.383681,4.098282,0.121600,3.00e-04
3501,3.974846,3.924775,4.038108,0.134000,3.00e-04
4001,3.876657,3.826527,3.909304,0.147500,2.99e-04
4501,4.079829,4.029728,3.856418,0.155800,2.99e-04
5001,3.472099,3.421975,3.757841,0.169600,2.98e-04
5501,3.915402,3.865249,3.673604,0.188700,2.97e-04
6001,3.375261,3.325082,3.630791,0.186700,2.96e-04
6501,3.425637,3.375603,3.624440,0.188500,2.95e-04
7001,3.700521,3.650373,3.555041,0.206400,2.93e-04
7501,3.734175,3.684047,3.486794,0.218000,2.92e-04
8001,3.756585,3.706503,3.460258,0.221400,2.90e-04
8501,3.188457,3.138395,3.435852,0.228900,2.88e-04
9001,3.385446,3.335258,3.392437,0.235300,2.86e-04
9501,3.467014,3.416912,3.347005,0.239900,2.84e-04
10001,3.507526,3.457481,3.340808,0.246200,2.82e-04
10501,3.035503,2.985458,3.305251,0.252600,2.79e-04
11001,3.278849,3.228774,3.247038,0.260000,2.77e-04
11501,3.675956,3.625914,3.248933,0.263300,2.74e-04
12001,2.872895,2.822846,3.225192,0.268000,2.71e-04
12501,3.269651,3.219610,3.169172,0.272800,2.68e-04
13001,3.029836,2.979775,3.181139,0.270300,2.65e-04
13501,3.416673,3.366614,3.136743,0.281400,2.62e-04
14001,2.678840,2.628787,3.124330,0.286500,2.59e-04
14501,2.846928,2.796911,3.136977,0.280300,2.55e-04
15001,2.994653,2.944553,3.115654,0.284000,2.52e-04
15501,3.132177,3.082161,3.057412,0.298000,2.48e-04
16001,2.740212,2.690145,3.040410,0.300700,2.44e-04
16501,2.842655,2.792639,3.015679,0.302600,2.40e-04
17001,3.267725,3.217664,2.999957,0.305300,2.36e-04
17501,2.601724,2.551648,3.022126,0.303200,2.32e-04
18001,2.466760,2.416721,2.990843,0.308700,2.28e-04
18501,2.696786,2.646752,2.982653,0.310800,2.24e-04
19001,2.767461,2.717445,2.916612,0.325900,2.19e-04
19501,2.785830,2.735811,2.893287,0.324300,2.15e-04
20001,2.510133,2.460109,2.853213,0.336800,2.10e-04
20501,3.120705,3.070677,2.905457,0.326800,2.06e-04
21001,2.713550,2.663537,2.858747,0.336100,2.01e-04
21501,2.680948,2.630903,2.814779,0.342400,1.96e-04
22001,2.416406,2.366381,2.837917,0.345100,1.92e-04
22501,2.659128,2.609124,2.899212,0.333800,1.87e-04
23001,2.768162,2.718129,2.890345,0.328700,1.82e-04
23501,2.274995,2.224985,2.845744,0.339700,1.77e-04
24001,2.700365,2.650318,2.836881,0.348200,1.72e-04
24501,2.432197,2.382185,2.769836,0.352000,1.67e-04
25001,2.922003,2.872008,2.764600,0.354500,1.62e-04
25501,2.602709,2.552669,2.788152,0.354300,1.57e-04
26001,2.551571,2.501545,2.747954,0.360800,1.52e-04
26501,2.536530,2.486481,2.704785,0.365900,1.48e-04
27001,2.905688,2.855680,2.710675,0.369800,1.43e-04
27501,2.271295,2.221267,2.691224,0.372500,1.38e-04
28001,2.580034,2.530020,2.693856,0.366700,1.33e-04
28501,2.301835,2.251806,2.740899,0.364600,1.28e-04
29001,2.217963,2.167947,2.708942,0.371100,1.23e-04
29501,2.371124,2.321095,2.699415,0.369700,1.18e-04
30001,1.928964,1.878956,2.663173,0.375200,1.13e-04
30501,2.091144,2.041114,2.684164,0.372300,1.08e-04
31001,2.447102,2.397074,2.668996,0.377300,1.04e-04
31501,2.084302,2.034291,2.622796,0.384100,9.89e-05
32001,2.054916,2.004895,2.633292,0.379400,9.43e-05
32501,2.239794,2.189781,2.653340,0.379900,8.97e-05
33001,2.024050,1.974041,2.661950,0.376600,8.52e-05
33501,2.373956,2.323956,2.621647,0.383800,8.08e-05
34001,2.138624,2.088626,2.652509,0.382800,7.64e-05
34501,1.871914,1.821903,2.635050,0.386700,7.21e-05
