step,train_loss,task_loss,val_loss,val_accuracy,lr
501,1.922167,1.872052,2.052186,0.258700,3.96e-05
1001,1.762716,1.712563,1.807603,0.337800,1.12e-04
1501,1.760699,1.710536,1.571136,0.422200,2.01e-04
2001,1.376738,1.326636,1.444494,0.460900,2.73e-04
2501,1.221284,1.171049,1.344423,0.515700,3.00e-04
3001,1.253971,1.203773,1.256952,0.542400,3.00e-04
3501,1.348679,1.298322,1.183997,0.571800,3.00e-04
4001,1.015133,0.964798,1.130490,0.591500,2.99e-04
4501,1.146376,1.096211,1.118395,0.599100,2.99e-04
5001,1.167691,1.117552,1.044053,0.622100,2.98e-04
5501,1.005685,0.955623,1.006704,0.647300,2.97e-04
6001,1.291103,1.241061,1.011296,0.639100,2.96e-04
6501,1.393431,1.343409,0.969563,0.654000,2.95e-04
7001,1.069336,1.019246,0.985565,0.648700,2.93e-04
7501,1.243562,1.193537,0.947262,0.668000,2.92e-04
8001,0.913142,0.863078,0.950709,0.663200,2.90e-04
8501,1.028903,0.978900,0.973506,0.660400,2.88e-04
9001,0.954392,0.904273,0.898599,0.685700,2.86e-04
9501,1.166751,1.116688,0.925961,0.669600,2.84e-04
10001,0.990795,0.940766,0.865214,0.696500,2.82e-04
10501,0.920196,0.870144,0.869997,0.695600,2.79e-04
11001,0.898020,0.847958,0.832658,0.711900,2.77e-04
11501,1.012255,0.962146,0.811647,0.715900,2.74e-04
12001,0.736637,0.686577,0.811092,0.715000,2.71e-04
12501,0.955667,0.905595,0.809800,0.721200,2.68e-04
13001,0.740217,0.690196,0.785466,0.722900,2.65e-04
13501,0.924427,0.874418,0.774073,0.728800,2.62e-04
14001,0.878479,0.828438,0.754271,0.736400,2.59e-04
14501,1.062088,1.012053,0.762341,0.732200,2.55e-04
15001,0.776093,0.726012,0.747946,0.740000,2.52e-04
15501,0.722478,0.672429,0.737488,0.744000,2.48e-04
16001,1.012411,0.962367,0.743690,0.742800,2.44e-04
16501,0.792298,0.742268,0.737458,0.742200,2.40e-04
17001,0.863495,0.813463,0.741561,0.741500,2.36e-04
17501,0.753981,0.703928,0.719905,0.749300,2.32e-04
18001,0.776933,0.726873,0.709682,0.749400,2.28e-04
18501,0.922684,0.872658,0.695064,0.761000,2.24e-04
19001,0.662307,0.612294,0.690343,0.765100,2.19e-04
19501,0.896086,0.846065,0.692591,0.756100,2.15e-04
20001,0.881634,0.831588,0.677923,0.766600,2.10e-04
20501,0.649337,0.599316,0.708255,0.756500,2.06e-04
21001,0.778019,0.728012,0.678106,0.765200,2.01e-04
21501,0.936144,0.886121,0.709649,0.757400,1.96e-04
22001,0.490181,0.440124,0.664085,0.773900,1.92e-04
22501,0.623445,0.573441,0.659816,0.769200,1.87e-04
23001,0.679757,0.629729,0.659737,0.775300,1.82e-04
23501,0.589197,0.539167,0.666953,0.773500,1.77e-04
24001,0.752553,0.702529,0.665563,0.769200,1.72e-04
24501,0.557832,0.507832,0.646882,0.776500,1.67e-04
25001,0.636215,0.586169,0.642113,0.779900,1.62e-04
25501,0.610812,0.560775,0.627914,0.784600,1.57e-04
26001,0.459659,0.409655,0.632366,0.784300,1.52e-04
26501,0.605251,0.555234,0.621047,0.784900,1.48e-04
27001,0.495640,0.445627,0.628729,0.786300,1.43e-04
27501,0.617535,0.567500,0.629870,0.782400,1.38e-04
28001,0.540821,0.490797,0.617279,0.787700,1.33e-04
28501,0.598473,0.548465,0.615545,0.790800,1.28e-04
29001,0.728423,0.678393,0.627397,0.785200,1.23e-04
29501,0.650072,0.600070,0.630354,0.787800,1.18e-04
30001,0.470947,0.420936,0.613430,0.793900,1.13e-04
30501,0.680604,0.630612,0.621965,0.785400,1.08e-04
31001,0.628618,0.578616,0.605057,0.795400,1.04e-04
31501,0.624246,0.574226,0.606703,0.790100,9.89e-05
32001,0.589338,0.539333,0.598024,0.797300,9.43e-05
32501,0.703203,0.653194,0.598632,0.795900,8.97e-05
