step,train_loss,task_loss,val_loss,val_accuracy,lr
501,5.199706,5.149459,5.149672,0.021100,3.96e-05
1001,5.030042,4.979224,4.943063,0.032700,1.12e-04
1501,4.680908,4.630301,4.652313,0.063600,2.01e-04
2001,4.448629,4.398208,4.406411,0.087000,2.73e-04
2501,4.376454,4.326164,4.232351,0.109400,3.00e-04
3001,4.434114,4.383681,4.098282,0.121600,3.00e-04
3501,3.974846,3.924775,4.038108,0.134000,3.00e-04
4001,3.876657,3.826527,3.909304,0.147500,2.99e-04
4501,4.079829,4.029728,3.856418,0.155800,2.99e-04
5001,3.472099,3.421975,3.757841,0.169600,2.98e-04
5501,3.917078,3.866914,3.675799,0.189000,2.97e-04
6001,3.392690,3.342610,3.624759,0.193500,2.96e-04
6501,3.410001,3.359971,3.623760,0.191000,2.95e-04
7001,3.675722,3.625675,3.549783,0.207100,2.93e-04
7501,3.750484,3.700379,3.482534,0.219500,2.92e-04
8001,3.771559,3.721494,3.460304,0.222800,2.90e-04
8501,3.134369,3.084316,3.445352,0.225700,2.88e-04
9001,3.478974,3.428808,3.378166,0.233700,2.86e-04
9501,3.497909,3.447811,3.343625,0.238500,2.84e-04
10001,3.513513,3.463453,3.330933,0.249900,2.82e-04
10501,3.152237,3.102203,3.332954,0.244400,2.79e-04
11001,3.302838,3.252730,3.254174,0.258900,2.77e-04
11501,3.636105,3.586059,3.229965,0.260600,2.74e-04
12001,2.988175,2.938112,3.227226,0.265800,2.71e-04
12501,3.332237,3.282130,3.170165,0.275200,2.68e-04
13001,3.045398,2.995328,3.180285,0.271800,2.65e-04
13501,3.471154,3.421124,3.137441,0.283100,2.62e-04
14001,2.786667,2.736564,3.103397,0.287000,2.59e-04
14501,2.890054,2.840009,3.086842,0.288300,2.55e-04
15001,2.939845,2.889803,3.063908,0.290900,2.52e-04
15501,3.290915,3.240879,3.037767,0.297300,2.48e-04
16001,2.877374,2.827358,3.015399,0.303900,2.44e-04
16501,2.927058,2.877018,3.011324,0.307500,2.40e-04
17001,3.347235,3.297204,3.001842,0.307600,2.36e-04
17501,2.671311,2.621268,2.998782,0.301700,2.32e-04
18001,2.591615,2.541575,2.947672,0.312600,2.28e-04
18501,2.776896,2.726875,2.968821,0.317300,2.24e-04
19001,2.833463,2.783436,2.918588,0.320300,2.19e-04
19501,2.964091,2.914081,2.885233,0.330200,2.15e-04
20001,2.796817,2.746720,2.881734,0.326500,2.10e-04
20501,3.257816,3.207785,2.909485,0.328600,2.06e-04
21001,2.833805,2.783797,2.856776,0.338700,2.01e-04
21501,2.792853,2.742800,2.849794,0.332800,1.96e-04
22001,2.551110,2.501083,2.805826,0.347100,1.92e-04
22501,2.660519,2.610502,2.853884,0.337800,1.87e-04
23001,3.013000,2.962986,2.872372,0.332900,1.82e-04
23501,2.493376,2.443338,2.804493,0.344200,1.77e-04
24001,2.913864,2.863853,2.812432,0.342600,1.72e-04
24501,2.752150,2.702108,2.787543,0.350000,1.67e-04
25001,3.128515,3.078495,2.753289,0.358700,1.62e-04
25501,2.800320,2.750306,2.782430,0.354900,1.57e-04
26001,2.942144,2.892126,2.761947,0.357100,1.52e-04
26501,2.863560,2.813513,2.717431,0.361600,1.48e-04
27001,3.016261,2.966249,2.737747,0.356900,1.43e-04
27501,2.603577,2.553575,2.711552,0.364200,1.38e-04
28001,2.756708,2.706693,2.710960,0.362900,1.33e-04
28501,2.576376,2.526370,2.742041,0.360000,1.28e-04
29001,2.465046,2.415025,2.722362,0.365900,1.23e-04
29501,2.608947,2.558894,2.688568,0.370000,1.18e-04
30001,2.303439,2.253436,2.661848,0.373600,1.13e-04
30501,2.353015,2.303009,2.659154,0.371600,1.08e-04
31001,2.755883,2.705863,2.680513,0.372200,1.04e-04
31501,2.420800,2.370806,2.642277,0.378000,9.89e-05
32001,2.150567,2.100566,2.646385,0.378400,9.43e-05
32501,2.714333,2.664330,2.626003,0.379700,8.97e-05
33001,2.287189,2.237179,2.637248,0.378900,8.52e-05
33501,2.736500,2.686474,2.628824,0.377900,8.08e-05
34001,2.379480,2.329475,2.625759,0.380700,7.64e-05
34501,2.183810,2.133807,2.621092,0.376500,7.21e-05
