step,train_loss,task_loss,val_loss,val_accuracy,lr
501,4.354537,4.304381,4.334548,0.044600,3.96e-05
1001,4.187701,4.137222,4.067852,0.072500,1.12e-04
1501,3.780372,3.729697,3.657762,0.136500,2.01e-04
2001,3.333681,3.283168,3.347009,0.178600,2.73e-04
2501,3.300571,3.250303,3.149618,0.211300,3.00e-04
3001,2.847070,2.796834,2.975192,0.252300,3.00e-04
3501,2.984466,2.934386,2.833494,0.286000,3.00e-04
4001,2.710946,2.660882,2.730499,0.302600,2.99e-04
4501,3.028716,2.978594,2.616825,0.323200,2.99e-04
5001,2.498415,2.448218,2.546945,0.333200,2.98e-04
5501,3.193283,3.143229,2.459491,0.360900,2.97e-04
6001,2.631780,2.581663,2.395674,0.371100,2.96e-04
6501,2.374148,2.324000,2.339276,0.385000,2.95e-04
7001,2.621607,2.571529,2.283050,0.393900,2.93e-04
7501,2.191692,2.141651,2.247100,0.403300,2.92e-04
8001,2.591677,2.541670,2.275070,0.393700,2.90e-04
8501,1.908866,1.858748,2.157659,0.424900,2.88e-04
9001,2.321093,2.271038,2.123683,0.427300,2.86e-04
9501,2.150475,2.100457,2.119042,0.432300,2.84e-04
10001,2.236142,2.186109,2.087901,0.440300,2.82e-04
10501,2.085941,2.035869,2.067737,0.441800,2.79e-04
11001,1.941830,1.891785,1.996603,0.461400,2.77e-04
11501,1.912465,1.862392,1.976076,0.468500,2.74e-04
12001,2.004357,1.954325,1.973619,0.463900,2.71e-04
12501,2.320362,2.270354,1.973700,0.466300,2.68e-04
13001,1.954513,1.904510,1.945965,0.474800,2.65e-04
13501,1.911380,1.861337,1.916163,0.482000,2.62e-04
14001,1.761069,1.711047,1.867963,0.492500,2.59e-04
14501,1.894709,1.844624,1.871030,0.486800,2.55e-04
15001,1.824066,1.774043,1.817214,0.506700,2.52e-04
15501,2.170088,2.120058,1.828433,0.504300,2.48e-04
16001,1.839335,1.789316,1.851278,0.489300,2.44e-04
16501,1.706700,1.656668,1.785655,0.507300,2.40e-04
17001,1.824628,1.774605,1.792438,0.508500,2.36e-04
17501,1.945699,1.895639,1.778911,0.513500,2.32e-04
18001,1.524691,1.474652,1.759206,0.516200,2.28e-04
18501,1.619161,1.569132,1.746323,0.519900,2.24e-04
19001,1.468233,1.418187,1.766161,0.520600,2.19e-04
19501,1.540376,1.490337,1.715859,0.532200,2.15e-04
20001,1.536288,1.486285,1.718280,0.528000,2.10e-04
20501,1.633358,1.583326,1.701570,0.536700,2.06e-04
21001,1.610810,1.560768,1.718037,0.530600,2.01e-04
21501,2.102001,2.051993,1.701405,0.538100,1.96e-04
22001,1.200432,1.150417,1.714770,0.533400,1.92e-04
22501,1.386366,1.336364,1.672919,0.539900,1.87e-04
23001,1.671454,1.621408,1.705224,0.533600,1.82e-04
23501,1.443147,1.393127,1.678536,0.536400,1.77e-04
24001,1.893872,1.843853,1.642133,0.548700,1.72e-04
24501,1.581446,1.531430,1.674250,0.539200,1.67e-04
25001,1.237558,1.187536,1.643628,0.549100,1.62e-04
25501,1.540525,1.490501,1.655809,0.548600,1.57e-04
26001,1.519543,1.469542,1.666034,0.547400,1.52e-04
26501,1.710885,1.660857,1.625073,0.558400,1.48e-04
27001,1.127863,1.077863,1.632560,0.551000,1.43e-04
27501,1.246392,1.196384,1.620566,0.556500,1.38e-04
28001,1.121498,1.071486,1.614332,0.555700,1.33e-04
28501,1.507028,1.457021,1.601828,0.557600,1.28e-04
29001,1.267836,1.217810,1.606632,0.562800,1.23e-04
29501,1.409816,1.359807,1.608576,0.560900,1.18e-04
30001,1.559584,1.509563,1.599064,0.562400,1.13e-04
30501,1.302808,1.252794,1.613000,0.559700,1.08e-04
31001,1.514036,1.464020,1.593665,0.562000,1.04e-04
31501,1.301454,1.251462,1.583525,0.568300,9.89e-05
32001,1.661823,1.611814,1.577113,0.569800,9.43e-05
32501,1.416377,1.366381,1.580864,0.568200,8.97e-05
33001,1.732342,1.682323,1.582172,0.566400,8.52e-05
33501,0.987300,0.937290,1.565679,0.571700,8.08e-05
34001,1.187072,1.137067,1.561734,0.574100,7.64e-05
34501,1.443496,1.393493,1.560402,0.576200,7.21e-05
35001,1.404256,1.354239,1.560208,0.571700,6.79e-05
