step,train_loss,task_loss,val_loss,val_accuracy,lr
500,2.324682,2.323056,2.312898,0.113100,3.70e-12
1000,2.361375,2.361375,2.226750,0.174300,9.87e-12
1500,2.318641,2.318641,2.222163,0.168800,2.22e-11
2000,2.344174,2.344174,2.214852,0.176500,5.87e-11
2500,2.262210,2.262210,2.216459,0.174700,9.25e-10
3000,2.416017,2.416017,2.212797,0.175500,9.08e-09
3500,2.311705,2.311705,2.211569,0.176200,1.87e-08
4000,2.253063,2.253063,2.209530,0.176600,2.98e-08
4500,2.306092,2.306092,2.206542,0.177100,4.23e-08
5000,2.265662,2.265662,2.203312,0.183500,5.62e-08
5500,2.316096,2.316096,2.201409,0.185700,7.16e-08
6000,2.272197,2.272197,2.199303,0.189100,8.83e-08
6500,2.269427,2.269427,2.196636,0.194200,1.06e-07
7000,2.263333,2.263333,2.193995,0.198100,1.26e-07
7500,2.239802,2.239802,2.190132,0.201800,1.47e-07
8000,2.244904,2.244904,2.186813,0.208400,1.69e-07
8500,2.239261,2.239261,2.183011,0.210100,1.92e-07
9000,2.248824,2.248824,2.173271,0.212500,2.17e-07
9500,2.188861,2.188861,2.168776,0.211600,2.43e-07
10000,2.202669,2.202669,2.164207,0.211300,2.71e-07
10500,2.151154,2.151154,2.158861,0.208100,2.99e-07
11000,2.146718,2.146718,2.157489,0.205000,3.29e-07
11500,2.179627,2.179627,2.151342,0.205900,3.59e-07
12000,2.144788,2.144788,2.143427,0.205700,3.91e-07
12500,2.175155,2.175155,2.137553,0.206000,4.24e-07
13000,2.156917,2.156917,2.131581,0.205700,4.58e-07
13500,2.157416,2.157416,2.123525,0.208300,4.93e-07
14000,2.123000,2.123000,2.117995,0.208400,5.29e-07
14500,2.040730,2.040730,2.111144,0.211400,5.66e-07
15000,2.113596,2.113596,2.096252,0.209500,6.04e-07
15500,2.117271,2.117271,2.087687,0.213100,6.43e-07
16000,2.038982,2.038982,2.074381,0.214900,6.83e-07
16500,2.121981,2.121981,2.064262,0.219200,7.23e-07
17000,2.016687,2.016687,2.060591,0.221100,7.64e-07
17500,2.136561,2.136561,2.053589,0.224100,8.06e-07
18000,1.961908,1.961908,2.045904,0.226200,8.49e-07
18500,2.031065,2.031065,2.037524,0.229000,8.92e-07
19000,1.979306,1.979306,2.034278,0.233000,9.36e-07
19500,1.926063,1.926063,2.027600,0.236200,9.80e-07
20000,1.995903,1.995903,2.022517,0.239400,1.03e-06
20500,1.900016,1.900016,2.010498,0.240000,1.07e-06
21000,1.949369,1.949369,2.002041,0.244300,1.12e-06
21500,1.871134,1.871134,1.998025,0.246000,1.16e-06
22000,1.993707,1.993707,1.993803,0.251800,1.21e-06
22500,2.004793,2.004793,1.984683,0.254900,1.26e-06
