step,layer_idx,layer_name,mean,std,min,max,frac_active,num_neurons
500,22,ElasticLinear,0.0129,0.1429,-0.1281,0.6262,0.3477,768
500,23,ElasticLinear,0.1770,0.1676,-0.0765,0.6276,0.8906,192
500,27,ElasticLinear,-0.1359,0.0045,-0.1401,-0.1044,0.0000,768
500,28,ElasticLinear,-0.1318,0.0063,-0.1391,-0.1058,0.0000,192
500,32,ElasticLinear,0.0592,0.1900,-0.1293,0.7237,0.4609,768
500,33,ElasticLinear,0.2134,0.2133,-0.0710,0.7621,0.9375,192
500,37,ElasticLinear,0.0956,0.2148,-0.1213,0.8117,0.5365,768
500,38,ElasticLinear,0.3037,0.2532,-0.0358,0.8029,0.9635,192
500,56,ElasticLinear,-0.1329,0.0098,-0.1417,-0.0741,0.0000,768
500,57,ElasticLinear,-0.1215,0.0157,-0.1392,-0.0502,0.0000,192
500,61,ElasticLinear,-0.1375,0.0022,-0.1413,-0.1134,0.0000,768
500,62,ElasticLinear,-0.1359,0.0036,-0.1412,-0.1176,0.0000,192
500,66,ElasticLinear,0.0405,0.1549,-0.1231,0.6525,0.4401,768
500,67,ElasticLinear,0.2097,0.1772,-0.0508,0.6411,0.9219,192
500,71,ElasticLinear,0.1786,0.2363,-0.1002,0.8233,0.7500,768
500,72,ElasticLinear,0.3752,0.2559,-0.0087,0.8285,0.9948,192
500,90,ElasticLinear,0.0588,0.1654,-0.1278,0.6982,0.4961,768
500,91,ElasticLinear,0.2535,0.2225,-0.0511,0.7215,0.9583,192
500,95,ElasticLinear,-0.0928,0.0566,-0.1419,0.1882,0.0677,768
500,96,ElasticLinear,-0.0253,0.0821,-0.1212,0.2890,0.2552,192
500,100,ElasticLinear,0.0814,0.1955,-0.1222,0.7904,0.5404,768
500,101,ElasticLinear,0.2482,0.2239,-0.0562,0.7620,0.9740,192
500,105,ElasticLinear,-0.0237,0.1359,-0.1384,0.6366,0.2604,768
500,106,ElasticLinear,0.1039,0.1505,-0.0979,0.5351,0.7083,192
500,124,ElasticLinear,0.1769,0.2182,-0.1153,0.7989,0.7878,768
500,125,ElasticLinear,0.3339,0.2298,0.0435,0.8006,1.0000,192
500,129,ElasticLinear,-0.0592,0.0928,-0.1378,0.4300,0.1810,768
500,130,ElasticLinear,0.0588,0.1266,-0.1019,0.4606,0.5781,192
500,134,ElasticLinear,-0.0446,0.1059,-0.1355,0.5247,0.2083,768
500,135,ElasticLinear,0.0650,0.1430,-0.1006,0.5029,0.5938,192
500,139,ElasticLinear,-0.1354,0.0055,-0.1387,-0.0922,0.0000,768
500,140,ElasticLinear,-0.1318,0.0072,-0.1387,-0.1016,0.0000,192
1000,22,ElasticLinear,-0.0133,0.2082,-0.2501,0.9136,0.2891,768
1000,23,ElasticLinear,0.1622,0.2922,-0.2250,0.9155,0.6042,192
1000,27,ElasticLinear,-0.1711,0.0055,-0.1814,-0.1354,0.0000,768
1000,28,ElasticLinear,-0.1672,0.0072,-0.1833,-0.1398,0.0000,192
1000,32,ElasticLinear,0.0495,0.3190,-0.2690,1.1166,0.3828,768
1000,33,ElasticLinear,0.2269,0.4049,-0.3084,1.1536,0.6354,192
1000,37,ElasticLinear,0.0966,0.3560,-0.2978,1.2123,0.4258,768
1000,38,ElasticLinear,0.3339,0.4634,-0.3466,1.1816,0.6458,192
1000,56,ElasticLinear,-0.1675,0.0157,-0.2030,-0.0585,0.0000,768
1000,57,ElasticLinear,-0.1552,0.0271,-0.1914,-0.0536,0.0000,192
1000,61,ElasticLinear,-0.1726,0.0027,-0.1765,-0.1465,0.0000,768
1000,62,ElasticLinear,-0.1711,0.0044,-0.1767,-0.1485,0.0000,192
1000,66,ElasticLinear,0.0216,0.2342,-0.2713,0.9621,0.3750,768
1000,67,ElasticLinear,0.2085,0.3175,-0.2431,0.9233,0.6354,192
1000,71,ElasticLinear,0.2032,0.4147,-0.3112,1.2398,0.5742,768
1000,72,ElasticLinear,0.4290,0.4829,-0.2831,1.2307,0.7344,192
1000,90,ElasticLinear,0.0492,0.2696,-0.2597,1.0238,0.4336,768
1000,91,ElasticLinear,0.2629,0.4036,-0.2756,1.0655,0.6510,192
1000,95,ElasticLinear,-0.1241,0.0848,-0.2167,0.3400,0.0690,768
1000,96,ElasticLinear,-0.0493,0.1348,-0.2369,0.4577,0.2396,192
1000,100,ElasticLinear,0.0704,0.3227,-0.2813,1.1694,0.4089,768
1000,101,ElasticLinear,0.2507,0.4111,-0.2714,1.1583,0.6667,192
1000,105,ElasticLinear,-0.0459,0.2098,-0.2672,0.9912,0.2096,768
1000,106,ElasticLinear,0.1005,0.2696,-0.2374,0.8326,0.4948,192
1000,124,ElasticLinear,0.1760,0.3765,-0.2912,1.1811,0.5586,768
1000,125,ElasticLinear,0.3279,0.4434,-0.2736,1.1891,0.6979,192
1000,129,ElasticLinear,-0.0854,0.1391,-0.2291,0.6486,0.1523,768
1000,130,ElasticLinear,0.0475,0.2182,-0.2356,0.7569,0.4844,192
1000,134,ElasticLinear,-0.0690,0.1718,-0.2609,0.8788,0.1849,768
1000,135,ElasticLinear,0.0564,0.2702,-0.2637,0.8099,0.4062,192
1000,139,ElasticLinear,-0.1706,0.0054,-0.1743,-0.1275,0.0000,768
1000,140,ElasticLinear,-0.1671,0.0073,-0.1749,-0.1355,0.0000,192
1500,22,ElasticLinear,-0.0182,0.3068,-0.5180,1.2262,0.3242,768
1500,23,ElasticLinear,0.1619,0.4501,-0.5065,1.2450,0.5521,192
1500,27,ElasticLinear,-0.1817,0.0099,-0.2292,-0.1239,0.0000,768
1500,28,ElasticLinear,-0.1783,0.0143,-0.2318,-0.1352,0.0000,192
1500,32,ElasticLinear,0.0559,0.4707,-0.6007,1.4964,0.4076,768
1500,33,ElasticLinear,0.2515,0.6076,-0.6882,1.5384,0.5625,192
1500,37,ElasticLinear,0.1141,0.5206,-0.6640,1.6022,0.4648,768
1500,38,ElasticLinear,0.3705,0.6822,-0.7426,1.5656,0.6250,192
1500,56,ElasticLinear,-0.1774,0.0316,-0.3541,0.0197,0.0065,768
1500,57,ElasticLinear,-0.1638,0.0559,-0.3012,0.0191,0.0365,192
1500,61,ElasticLinear,-0.1832,0.0062,-0.2040,-0.1418,0.0000,768
1500,62,ElasticLinear,-0.1818,0.0104,-0.2105,-0.1441,0.0000,192
1500,66,ElasticLinear,0.0244,0.3459,-0.5842,1.2843,0.4154,768
1500,67,ElasticLinear,0.2220,0.4811,-0.5378,1.2325,0.5990,192
1500,71,ElasticLinear,0.2401,0.6103,-0.6855,1.6382,0.5534,768
1500,72,ElasticLinear,0.4923,0.7092,-0.6492,1.6302,0.6615,192
1500,90,ElasticLinear,0.0613,0.4105,-0.6169,1.3699,0.4570,768
1500,91,ElasticLinear,0.2812,0.6034,-0.6021,1.4311,0.5625,192
1500,95,ElasticLinear,-0.1293,0.1345,-0.4478,0.5699,0.0938,768
1500,96,ElasticLinear,-0.0451,0.2197,-0.4832,0.6892,0.2969,192
1500,100,ElasticLinear,0.0754,0.4777,-0.6039,1.5503,0.4258,768
1500,101,ElasticLinear,0.2629,0.6092,-0.5935,1.5434,0.5729,192
1500,105,ElasticLinear,-0.0451,0.3075,-0.5678,1.3420,0.2578,768
1500,106,ElasticLinear,0.1195,0.4172,-0.5549,1.1449,0.5000,192
1500,124,ElasticLinear,0.1863,0.5558,-0.6203,1.5545,0.5273,768
1500,125,ElasticLinear,0.3287,0.6593,-0.6389,1.5618,0.6094,192
1500,129,ElasticLinear,-0.0863,0.2075,-0.5028,0.8801,0.1771,768
1500,130,ElasticLinear,0.0583,0.3323,-0.4975,1.0628,0.4844,192
1500,134,ElasticLinear,-0.0681,0.2698,-0.5760,1.2501,0.2500,768
1500,135,ElasticLinear,0.0696,0.4306,-0.5599,1.1521,0.4271,192
1500,139,ElasticLinear,-0.1814,0.0056,-0.1870,-0.1382,0.0000,768
1500,140,ElasticLinear,-0.1779,0.0080,-0.1870,-0.1428,0.0000,192
2000,22,ElasticLinear,-0.0199,0.4239,-0.8227,1.5152,0.3646,768
2000,23,ElasticLinear,0.1669,0.6156,-0.8013,1.5636,0.5312,192
2000,27,ElasticLinear,-0.1879,0.0165,-0.2865,-0.1023,0.0000,768
2000,28,ElasticLinear,-0.1848,0.0251,-0.2883,-0.1178,0.0000,192
2000,32,ElasticLinear,0.0622,0.6415,-0.9589,1.8669,0.4323,768
2000,33,ElasticLinear,0.2805,0.8194,-1.0766,1.9080,0.5573,192
2000,37,ElasticLinear,0.1318,0.6996,-1.0408,1.9768,0.4857,768
2000,38,ElasticLinear,0.4068,0.9032,-1.1356,1.9418,0.5938,192
2000,56,ElasticLinear,-0.1825,0.0546,-0.5393,0.1277,0.0195,768
2000,57,ElasticLinear,-0.1667,0.0958,-0.4292,0.1235,0.0677,192
2000,61,ElasticLinear,-0.1894,0.0119,-0.2407,-0.1217,0.0000,768
2000,62,ElasticLinear,-0.1882,0.0200,-0.2499,-0.1240,0.0000,192
2000,66,ElasticLinear,0.0301,0.4769,-0.9348,1.6021,0.4427,768
2000,67,ElasticLinear,0.2388,0.6550,-0.8642,1.5489,0.5781,192
2000,71,ElasticLinear,0.2742,0.8153,-1.0754,2.0265,0.5573,768
2000,72,ElasticLinear,0.5570,0.9335,-1.0039,2.0298,0.6406,192
2000,90,ElasticLinear,0.0761,0.5692,-0.9727,1.6971,0.4779,768
2000,91,ElasticLinear,0.3002,0.8027,-0.9580,1.7766,0.5573,192
2000,95,ElasticLinear,-0.1296,0.2002,-0.7209,0.8448,0.1263,768
2000,96,ElasticLinear,-0.0347,0.3260,-0.7631,0.9396,0.3594,192
2000,100,ElasticLinear,0.0800,0.6476,-0.9617,1.9152,0.4492,768
2000,101,ElasticLinear,0.2784,0.8115,-0.9292,1.9144,0.5469,192
2000,105,ElasticLinear,-0.0403,0.4226,-0.9020,1.6946,0.3190,768
2000,106,ElasticLinear,0.1439,0.5788,-0.8818,1.4676,0.5156,192
2000,124,ElasticLinear,0.1947,0.7472,-0.9841,1.9173,0.5286,768
2000,125,ElasticLinear,0.3329,0.8774,-0.9997,1.9305,0.5677,192
2000,129,ElasticLinear,-0.0822,0.2912,-0.7931,1.1457,0.2409,768
2000,130,ElasticLinear,0.0723,0.4602,-0.7776,1.3487,0.5000,192
2000,134,ElasticLinear,-0.0625,0.3945,-0.9375,1.6238,0.3060,768
2000,135,ElasticLinear,0.0873,0.6153,-0.9132,1.5108,0.4635,192
2000,139,ElasticLinear,-0.1876,0.0060,-0.1959,-0.1437,0.0000,768
2000,140,ElasticLinear,-0.1842,0.0092,-0.1996,-0.1456,0.0000,192
2500,22,ElasticLinear,-0.0181,0.5525,-1.1297,1.8285,0.4049,768
2500,23,ElasticLinear,0.1761,0.7843,-1.1014,1.8753,0.5260,192
2500,27,ElasticLinear,-0.1880,0.0257,-0.3554,-0.0659,0.0000,768
2500,28,ElasticLinear,-0.1854,0.0400,-0.3490,-0.0843,0.0000,192
2500,32,ElasticLinear,0.0692,0.8240,-1.3196,2.2262,0.4505,768
2500,33,ElasticLinear,0.3140,1.0351,-1.4555,2.2739,0.5573,192
2500,37,ElasticLinear,0.1501,0.8932,-1.4272,2.3560,0.5013,768
2500,38,ElasticLinear,0.4440,1.1283,-1.5411,2.3265,0.5729,192
2500,56,ElasticLinear,-0.1811,0.0835,-0.7490,0.2791,0.0312,768
2500,57,ElasticLinear,-0.1631,0.1463,-0.5846,0.2525,0.1250,192
2500,61,ElasticLinear,-0.1893,0.0193,-0.2785,-0.0862,0.0000,768
2500,62,ElasticLinear,-0.1883,0.0322,-0.2907,-0.0884,0.0000,192
2500,66,ElasticLinear,0.0372,0.6184,-1.3000,1.9032,0.4570,768
2500,67,ElasticLinear,0.2588,0.8278,-1.1794,1.8537,0.5729,192
2500,71,ElasticLinear,0.3090,1.0297,-1.4766,2.4162,0.5534,768
2500,72,ElasticLinear,0.6260,1.1584,-1.3736,2.4166,0.6354,192
2500,90,ElasticLinear,0.0935,0.7395,-1.3185,2.0197,0.5026,768
2500,91,ElasticLinear,0.3234,1.0011,-1.3194,2.1114,0.5521,192
2500,95,ElasticLinear,-0.1236,0.2797,-1.0243,1.1357,0.1823,768
2500,96,ElasticLinear,-0.0171,0.4511,-1.0822,1.2180,0.4115,192
2500,100,ElasticLinear,0.0855,0.8320,-1.3378,2.2794,0.4701,768
2500,101,ElasticLinear,0.2989,1.0195,-1.2780,2.2954,0.5417,192
2500,105,ElasticLinear,-0.0323,0.5523,-1.2466,2.0435,0.3607,768
2500,106,ElasticLinear,0.1726,0.7498,-1.2215,1.7913,0.5208,192
2500,124,ElasticLinear,0.2045,0.9477,-1.3545,2.2760,0.5326,768
2500,125,ElasticLinear,0.3454,1.0954,-1.3541,2.2932,0.5469,192
2500,129,ElasticLinear,-0.0719,0.3911,-1.0975,1.4329,0.3164,768
2500,130,ElasticLinear,0.0922,0.6027,-1.0819,1.6496,0.5156,192
2500,134,ElasticLinear,-0.0524,0.5330,-1.3147,1.9909,0.3698,768
2500,135,ElasticLinear,0.1086,0.8072,-1.2796,1.8667,0.4844,192
2500,139,ElasticLinear,-0.1878,0.0069,-0.2027,-0.1396,0.0000,768
2500,140,ElasticLinear,-0.1846,0.0112,-0.2053,-0.1397,0.0000,192
3000,22,ElasticLinear,-0.0189,0.6889,-1.4811,2.1553,0.4323,768
3000,23,ElasticLinear,0.1857,0.9530,-1.3775,2.1768,0.5312,192
3000,27,ElasticLinear,-0.1918,0.0375,-0.4446,-0.0228,0.0000,768
3000,28,ElasticLinear,-0.1899,0.0593,-0.4288,-0.0428,0.0000,192
3000,32,ElasticLinear,0.0706,1.0203,-1.6867,2.5942,0.4740,768
3000,33,ElasticLinear,0.3493,1.2542,-1.8485,2.6366,0.5625,192
3000,37,ElasticLinear,0.1649,1.0865,-1.8213,2.7133,0.5078,768
3000,38,ElasticLinear,0.4810,1.3430,-1.9212,2.6873,0.5729,192
3000,56,ElasticLinear,-0.1832,0.1199,-0.9970,0.4607,0.0495,768
3000,57,ElasticLinear,-0.1618,0.2105,-0.7611,0.4085,0.1719,192
3000,61,ElasticLinear,-0.1931,0.0281,-0.3286,-0.0478,0.0000,768
3000,62,ElasticLinear,-0.1925,0.0473,-0.3536,-0.0504,0.0000,192
3000,66,ElasticLinear,0.0420,0.7674,-1.6917,2.1936,0.4622,768
3000,67,ElasticLinear,0.2821,0.9978,-1.5332,2.1600,0.5729,192
3000,71,ElasticLinear,0.3393,1.2454,-1.8962,2.8026,0.5495,768
3000,72,ElasticLinear,0.6966,1.3771,-1.7149,2.8029,0.6250,192
3000,90,ElasticLinear,0.1081,0.9243,-1.7003,2.3554,0.5169,768
3000,91,ElasticLinear,0.3461,1.2085,-1.6966,2.4693,0.5469,192
3000,95,ElasticLinear,-0.1205,0.3662,-1.3390,1.4079,0.2448,768
3000,96,ElasticLinear,0.0018,0.5788,-1.3778,1.4663,0.4323,192
3000,100,ElasticLinear,0.0858,1.0178,-1.7025,2.6247,0.4779,768
3000,101,ElasticLinear,0.3209,1.2216,-1.6117,2.6484,0.5260,192
3000,105,ElasticLinear,-0.0278,0.6856,-1.5890,2.3675,0.3854,768
3000,106,ElasticLinear,0.2001,0.9164,-1.5354,2.0889,0.5365,192
3000,124,ElasticLinear,0.2109,1.1475,-1.7378,2.6238,0.5260,768
3000,125,ElasticLinear,0.3602,1.3100,-1.7182,2.6498,0.5208,192
3000,129,ElasticLinear,-0.0642,0.4979,-1.3846,1.7069,0.3490,768
3000,130,ElasticLinear,0.1103,0.7497,-1.3795,1.9367,0.5260,192
3000,134,ElasticLinear,-0.0444,0.6851,-1.7003,2.3471,0.4036,768
3000,135,ElasticLinear,0.1309,1.0076,-1.6428,2.2204,0.5000,192
3000,139,ElasticLinear,-0.1919,0.0092,-0.2195,-0.1369,0.0000,768
3000,140,ElasticLinear,-0.1890,0.0157,-0.2338,-0.1338,0.0000,192
3500,22,ElasticLinear,-0.0177,0.8374,-1.8602,2.4865,0.4427,768
3500,23,ElasticLinear,0.1988,1.1260,-1.6665,2.4834,0.5260,192
3500,27,ElasticLinear,-0.1917,0.0532,-0.5587,0.0355,0.0130,768
3500,28,ElasticLinear,-0.1904,0.0852,-0.5321,0.0180,0.0417,192
3500,32,ElasticLinear,0.0718,1.2226,-2.0524,2.9490,0.4870,768
3500,33,ElasticLinear,0.3901,1.4701,-2.2367,2.9905,0.5677,192
3500,37,ElasticLinear,0.1808,1.2845,-2.2454,3.0710,0.5169,768
3500,38,ElasticLinear,0.5206,1.5554,-2.3000,3.0443,0.5677,192
3500,56,ElasticLinear,-0.1809,0.1644,-1.2730,0.6746,0.0690,768
3500,57,ElasticLinear,-0.1549,0.2875,-0.9712,0.6013,0.2188,192
3500,61,ElasticLinear,-0.1929,0.0401,-0.3916,0.0084,0.0065,768
3500,62,ElasticLinear,-0.1927,0.0676,-0.4318,0.0026,0.0260,192
3500,66,ElasticLinear,0.0478,0.9266,-2.0935,2.5062,0.4740,768
3500,67,ElasticLinear,0.3106,1.1711,-1.8684,2.4704,0.5573,192
3500,71,ElasticLinear,0.3700,1.4626,-2.3127,3.1843,0.5521,768
3500,72,ElasticLinear,0.7714,1.5927,-2.0604,3.1941,0.6146,192
3500,90,ElasticLinear,0.1246,1.1127,-2.0659,2.6844,0.5260,768
3500,91,ElasticLinear,0.3756,1.4103,-2.0654,2.8096,0.5469,192
3500,95,ElasticLinear,-0.1126,0.4648,-1.6767,1.7056,0.2930,768
3500,96,ElasticLinear,0.0279,0.7212,-1.6919,1.7354,0.4635,192
3500,100,ElasticLinear,0.0858,1.2036,-2.0755,2.9620,0.4870,768
3500,101,ElasticLinear,0.3453,1.4186,-1.9251,2.9951,0.5208,192
3500,105,ElasticLinear,-0.0204,0.8317,-1.9446,2.7027,0.4349,768
3500,106,ElasticLinear,0.2331,1.0919,-1.8520,2.3956,0.5521,192
3500,124,ElasticLinear,0.2188,1.3496,-2.1422,2.9679,0.5273,768
3500,125,ElasticLinear,0.3810,1.5209,-2.0764,2.9941,0.5104,192
3500,129,ElasticLinear,-0.0538,0.6079,-1.6516,1.9585,0.3867,768
3500,130,ElasticLinear,0.1294,0.8932,-1.6597,2.2109,0.5208,192
3500,134,ElasticLinear,-0.0330,0.8566,-2.1061,2.7138,0.4401,768
3500,135,ElasticLinear,0.1611,1.2185,-2.0248,2.5808,0.5156,192
3500,139,ElasticLinear,-0.1921,0.0116,-0.2398,-0.1255,0.0000,768
3500,140,ElasticLinear,-0.1894,0.0196,-0.2529,-0.1256,0.0000,192
4000,22,ElasticLinear,-0.0184,0.9869,-2.2245,2.8068,0.4609,768
4000,23,ElasticLinear,0.2155,1.2954,-1.9634,2.7787,0.5260,192
4000,27,ElasticLinear,-0.1993,0.0702,-0.6873,0.0922,0.0221,768
4000,28,ElasticLinear,-0.1982,0.1125,-0.6497,0.0742,0.0677,192
4000,32,ElasticLinear,0.0713,1.4277,-2.4278,3.3015,0.4922,768
4000,33,ElasticLinear,0.4365,1.6832,-2.6106,3.3413,0.5729,192
4000,37,ElasticLinear,0.1951,1.4898,-2.6895,3.4317,0.5182,768
4000,38,ElasticLinear,0.5651,1.7670,-2.6833,3.4092,0.5677,192
4000,56,ElasticLinear,-0.1854,0.2185,-1.5774,0.9204,0.0846,768
4000,57,ElasticLinear,-0.1522,0.3826,-1.1912,0.8188,0.2448,192
4000,61,ElasticLinear,-0.2003,0.0550,-0.4717,0.0750,0.0117,768
4000,62,ElasticLinear,-0.2001,0.0927,-0.5323,0.0683,0.0312,192
4000,66,ElasticLinear,0.0505,1.0894,-2.5056,2.8125,0.4792,768
4000,67,ElasticLinear,0.3409,1.3442,-2.2074,2.7742,0.5521,192
4000,71,ElasticLinear,0.3997,1.6782,-2.7192,3.5570,0.5534,768
4000,72,ElasticLinear,0.8493,1.8035,-2.3933,3.5783,0.6146,192
4000,90,ElasticLinear,0.1387,1.3021,-2.4223,3.0008,0.5299,768
4000,91,ElasticLinear,0.4064,1.6068,-2.4456,3.1519,0.5417,192
4000,95,ElasticLinear,-0.1104,0.5758,-2.0174,2.0068,0.3372,768
4000,96,ElasticLinear,0.0526,0.8737,-2.0322,2.0298,0.4948,192
4000,100,ElasticLinear,0.0836,1.3929,-2.4583,3.3050,0.4883,768
4000,101,ElasticLinear,0.3739,1.6141,-2.2524,3.3480,0.5260,192
4000,105,ElasticLinear,-0.0174,0.9904,-2.3114,3.0439,0.4518,768
4000,106,ElasticLinear,0.2714,1.2702,-2.1927,2.7016,0.5573,192
4000,124,ElasticLinear,0.2259,1.5483,-2.5417,3.3092,0.5260,768
4000,125,ElasticLinear,0.4068,1.7255,-2.4186,3.3392,0.5104,192
