step,train_loss,task_loss,val_loss,val_accuracy,lr
500,5.552705,5.551847,5.422871,0.005000,3.70e-12
1000,5.314765,5.314765,5.399182,0.005200,9.87e-12
1500,5.446767,5.446767,5.376588,0.005300,2.22e-11
2000,5.398046,5.398046,5.367034,0.005900,5.87e-11
2500,5.367942,5.367942,5.363035,0.005900,9.25e-10
3000,5.320355,5.320355,5.360442,0.005800,9.08e-09
3500,5.544189,5.544189,5.359600,0.006100,1.87e-08
4000,5.428926,5.428926,5.357578,0.006600,2.98e-08
4500,5.499041,5.499041,5.356959,0.006400,4.23e-08
5000,5.438646,5.438646,5.355658,0.006700,5.62e-08
5500,5.410607,5.410607,5.354112,0.006600,7.16e-08
6000,5.404311,5.404311,5.352929,0.006800,8.83e-08
6500,5.417878,5.417878,5.350870,0.007000,1.06e-07
7000,5.351552,5.351552,5.348738,0.006800,1.26e-07
7500,5.428997,5.428997,5.345746,0.006800,1.47e-07
8000,5.424590,5.424590,5.342774,0.006700,1.69e-07
8500,5.310574,5.310574,5.339263,0.006800,1.92e-07
9000,5.426183,5.426183,5.335807,0.006700,2.17e-07
9500,5.304852,5.304852,5.332180,0.007000,2.43e-07
10000,5.359637,5.359637,5.327026,0.007800,2.71e-07
10500,5.338710,5.338710,5.322880,0.007900,2.99e-07
11000,5.400545,5.400545,5.318436,0.008300,3.29e-07
11500,5.400564,5.400564,5.313920,0.008600,3.59e-07
12000,5.315532,5.315532,5.308726,0.009500,3.91e-07
12500,5.379130,5.379130,5.303701,0.009500,4.24e-07
13000,5.367454,5.367454,5.298369,0.009800,4.58e-07
13500,5.269191,5.269191,5.291666,0.009600,4.93e-07
14000,5.320267,5.320267,5.286483,0.009600,5.29e-07
14500,5.288053,5.288053,5.280981,0.010000,5.66e-07
15000,5.315603,5.315603,5.275514,0.009100,6.04e-07
15500,5.260939,5.260939,5.270333,0.010000,6.43e-07
16000,5.261136,5.261136,5.264891,0.010600,6.83e-07
16500,5.360404,5.360404,5.258983,0.010600,7.23e-07
17000,5.262124,5.262124,5.253339,0.011400,7.64e-07
17500,5.254653,5.254653,5.247551,0.011200,8.06e-07
18000,5.317469,5.317469,5.242312,0.011600,8.49e-07
18500,5.296526,5.296526,5.237022,0.012900,8.92e-07
19000,5.301972,5.301972,5.231184,0.013100,9.36e-07
19500,5.227548,5.227548,5.225327,0.014700,9.80e-07
20000,5.250322,5.250322,5.219347,0.015300,1.03e-06
20500,5.197350,5.197350,5.212540,0.014200,1.07e-06
21000,5.155376,5.155376,5.206750,0.014300,1.12e-06
21500,5.150683,5.150683,5.200676,0.014400,1.16e-06
22000,5.166138,5.166138,5.193317,0.015000,1.21e-06
22500,5.116324,5.116323,5.186179,0.015300,1.26e-06
23000,5.210394,5.210394,5.177693,0.016800,1.30e-06
23500,5.199907,5.199907,5.169953,0.017200,1.35e-06
24000,5.162998,5.162998,5.162446,0.017700,1.40e-06
24500,5.142495,5.142495,5.154624,0.018900,1.44e-06
25000,5.136882,5.136882,5.146910,0.019300,1.49e-06
25500,5.075819,5.075819,5.139504,0.021300,1.54e-06
26000,5.143623,5.143623,5.130217,0.021500,1.59e-06
26500,5.168489,5.168489,5.122499,0.022900,1.63e-06
27000,5.042519,5.042519,5.113506,0.023800,1.68e-06
27500,5.121065,5.121065,5.105292,0.024000,1.73e-06
28000,5.192141,5.192141,5.098742,0.025100,1.77e-06
28500,5.197118,5.197118,5.091194,0.025400,1.82e-06
29000,5.001580,5.001580,5.083674,0.026600,1.87e-06
29500,5.100142,5.100142,5.075848,0.027500,1.91e-06
30000,5.030392,5.030392,5.068879,0.026800,1.96e-06
30500,5.167704,5.167704,5.060742,0.027600,2.00e-06
31000,5.136285,5.136285,5.053535,0.027700,2.05e-06
31500,5.037103,5.037102,5.046209,0.028600,2.09e-06
32000,5.004959,5.004959,5.039642,0.028900,2.13e-06
32500,5.073277,5.073277,5.030251,0.027700,2.18e-06
33000,4.938356,4.938356,5.023159,0.027100,2.22e-06
33500,5.102177,5.102177,5.016323,0.028300,2.26e-06
34000,5.000773,5.000773,5.010135,0.028800,2.30e-06
34500,4.979453,4.979453,5.003094,0.028300,2.34e-06
35000,5.174893,5.174893,4.996760,0.029600,2.38e-06
35500,4.988179,4.988179,4.990571,0.029400,2.42e-06
36000,5.000832,5.000832,4.984177,0.031500,2.45e-06
36500,4.979024,4.979023,4.978721,0.031400,2.49e-06
37000,5.041698,5.041698,4.972311,0.031600,2.52e-06
37500,4.914915,4.914915,4.966340,0.033200,2.56e-06
38000,5.039446,5.039446,4.960469,0.033100,2.59e-06
38500,4.922767,4.922767,4.955341,0.034500,2.62e-06
39000,4.967071,4.967071,4.949555,0.035700,2.65e-06
39500,4.911925,4.911925,4.943491,0.036200,2.68e-06
40000,4.915246,4.915246,4.937633,0.037100,2.71e-06
40500,4.968335,4.968335,4.932848,0.036900,2.74e-06
41000,4.933178,4.933178,4.927961,0.036600,2.77e-06
41500,4.814477,4.814477,4.922795,0.038500,2.79e-06
42000,4.965557,4.965557,4.916887,0.039600,2.81e-06
42500,4.970893,4.970893,4.910702,0.040200,2.84e-06
43000,4.915878,4.915878,4.905319,0.040800,2.86e-06
43500,5.026968,5.026968,4.898406,0.042200,2.88e-06
44000,4.866897,4.866897,4.892952,0.043100,2.89e-06
44500,4.834720,4.834720,4.886976,0.042300,2.91e-06
45000,4.887378,4.887378,4.881181,0.043300,2.93e-06
45500,4.987378,4.987378,4.875409,0.045400,2.94e-06
46000,4.973364,4.973364,4.867094,0.045800,2.95e-06
46500,4.881387,4.881387,4.862489,0.044400,2.96e-06
47000,4.837137,4.837137,4.853978,0.047700,2.97e-06
47500,4.728086,4.728086,4.848212,0.047000,2.98e-06
48000,4.923499,4.923499,4.841851,0.048600,2.99e-06
48500,4.848021,4.848021,4.834338,0.048900,2.99e-06
49000,4.828209,4.828209,4.826518,0.050400,3.00e-06
49500,4.705242,4.705241,4.819932,0.051000,3.00e-06
