step,layer_idx,layer_name,mean,std,min,max,frac_active,num_neurons
500,22,ElasticLinear,0.0015,0.1194,-0.1335,0.4039,0.3490,768
500,23,ElasticLinear,0.1444,0.1186,-0.0767,0.4176,0.8854,192
500,27,ElasticLinear,-0.1375,0.0065,-0.1416,-0.0980,0.0000,768
500,28,ElasticLinear,-0.1301,0.0094,-0.1404,-0.0990,0.0000,192
500,32,ElasticLinear,0.0977,0.1565,-0.1088,0.5629,0.6523,768
500,33,ElasticLinear,0.2799,0.1363,-0.0098,0.5762,0.9948,192
500,37,ElasticLinear,-0.0027,0.1255,-0.1399,0.4313,0.2930,768
500,38,ElasticLinear,0.1520,0.1396,-0.0753,0.4544,0.8490,192
500,56,ElasticLinear,0.0961,0.1503,-0.1232,0.5593,0.6992,768
500,57,ElasticLinear,0.2859,0.1246,0.0476,0.5441,1.0000,192
500,61,ElasticLinear,0.0818,0.1435,-0.1196,0.5279,0.6315,768
500,62,ElasticLinear,0.2511,0.1343,0.0003,0.5555,1.0000,192
500,66,ElasticLinear,-0.1409,0.0000,-0.1410,-0.1407,0.0000,768
500,67,ElasticLinear,-0.1409,0.0000,-0.1410,-0.1406,0.0000,192
500,71,ElasticLinear,-0.1403,0.0012,-0.1411,-0.1283,0.0000,768
500,72,ElasticLinear,-0.1390,0.0019,-0.1412,-0.1305,0.0000,192
500,90,ElasticLinear,-0.0789,0.0662,-0.1374,0.2318,0.1107,768
500,91,ElasticLinear,0.0019,0.0842,-0.1068,0.2796,0.4271,192
500,95,ElasticLinear,0.0611,0.1477,-0.1151,0.5582,0.5104,768
500,96,ElasticLinear,0.2283,0.1321,-0.0160,0.5397,0.9948,192
500,100,ElasticLinear,0.0591,0.1425,-0.1146,0.5069,0.4883,768
500,101,ElasticLinear,0.2108,0.1255,-0.0252,0.4810,0.9792,192
500,105,ElasticLinear,-0.0365,0.1032,-0.1325,0.3664,0.2500,768
500,106,ElasticLinear,0.0778,0.1124,-0.1018,0.3482,0.7292,192
500,124,ElasticLinear,-0.0144,0.1097,-0.1295,0.4115,0.3190,768
500,125,ElasticLinear,0.1367,0.1196,-0.0618,0.4272,0.8698,192
500,129,ElasticLinear,-0.0669,0.0817,-0.1394,0.2463,0.1745,768
500,130,ElasticLinear,0.0309,0.1034,-0.1007,0.3027,0.5156,192
500,134,ElasticLinear,-0.1401,0.0015,-0.1414,-0.1280,0.0000,768
500,135,ElasticLinear,-0.1385,0.0023,-0.1410,-0.1291,0.0000,192
500,139,ElasticLinear,0.1532,0.1502,-0.0782,0.5525,0.8490,768
500,140,ElasticLinear,0.3149,0.1153,0.0273,0.5528,1.0000,192
1000,22,ElasticLinear,-0.0117,0.1472,-0.1712,0.5258,0.3034,768
1000,23,ElasticLinear,0.1460,0.1637,-0.1487,0.5208,0.7969,192
1000,27,ElasticLinear,-0.1588,0.0064,-0.1627,-0.1184,0.0000,768
1000,28,ElasticLinear,-0.1514,0.0094,-0.1622,-0.1200,0.0000,192
1000,32,ElasticLinear,0.0879,0.1979,-0.1604,0.7817,0.5482,768
1000,33,ElasticLinear,0.2793,0.2114,-0.1081,0.7544,0.9479,192
1000,37,ElasticLinear,-0.0182,0.1460,-0.1610,0.5960,0.2812,768
1000,38,ElasticLinear,0.1427,0.1803,-0.1200,0.5779,0.7448,192
1000,56,ElasticLinear,0.0840,0.1874,-0.1881,0.7817,0.5794,768
1000,57,ElasticLinear,0.2848,0.1963,-0.1120,0.7263,0.9375,192
1000,61,ElasticLinear,0.0694,0.1820,-0.1833,0.7258,0.5430,768
1000,62,ElasticLinear,0.2469,0.1943,-0.1162,0.7212,0.9271,192
1000,66,ElasticLinear,-0.1620,0.0000,-0.1622,-0.1618,0.0000,768
1000,67,ElasticLinear,-0.1620,0.0001,-0.1622,-0.1618,0.0000,192
1000,71,ElasticLinear,-0.1614,0.0014,-0.1628,-0.1490,0.0000,768
1000,72,ElasticLinear,-0.1601,0.0020,-0.1623,-0.1502,0.0000,192
