step,train_loss,task_loss,val_loss,val_accuracy,lr
501,1.922167,1.872052,2.052186,0.258700,3.96e-05
1001,1.740714,1.690354,1.828023,0.335800,1.12e-04
1501,1.758793,1.708655,1.564453,0.424800,2.01e-04
2001,1.379420,1.329353,1.441514,0.465000,2.73e-04
2501,1.215783,1.165692,1.347110,0.516200,3.00e-04
3001,1.266321,1.216159,1.252895,0.548600,3.00e-04
3501,1.378875,1.328728,1.174931,0.575100,3.00e-04
4001,1.079773,1.029464,1.147379,0.589900,2.99e-04
4501,1.193757,1.143650,1.093921,0.604600,2.99e-04
5001,1.215523,1.165462,1.034718,0.630800,2.98e-04
5501,1.078890,1.028815,1.023442,0.635600,2.97e-04
6001,1.132018,1.081959,1.011545,0.639000,2.96e-04
6501,1.281482,1.231439,0.965149,0.656300,2.95e-04
7001,1.092803,1.042711,1.006530,0.643900,2.93e-04
7501,1.133294,1.083247,0.963956,0.664500,2.92e-04
8001,0.965775,0.915654,0.940605,0.670600,2.90e-04
8501,1.035679,0.985648,0.954315,0.665900,2.88e-04
9001,0.971788,0.921757,0.897352,0.680300,2.86e-04
9501,1.129415,1.079346,0.910868,0.674500,2.84e-04
10001,0.991070,0.941021,0.839594,0.703900,2.82e-04
10501,0.873680,0.823634,0.863124,0.700700,2.79e-04
11001,0.891542,0.841498,0.822379,0.710600,2.77e-04
11501,0.996062,0.945975,0.819620,0.711600,2.74e-04
12001,0.772106,0.722059,0.825742,0.715300,2.71e-04
12501,1.054496,1.004469,0.810386,0.721500,2.68e-04
13001,0.653436,0.603405,0.761789,0.735700,2.65e-04
13501,1.011798,0.961747,0.744956,0.740700,2.62e-04
14001,0.790090,0.740045,0.764282,0.729600,2.59e-04
14501,1.050520,1.000501,0.754152,0.741900,2.55e-04
15001,0.784593,0.734553,0.740103,0.736800,2.52e-04
15501,0.776800,0.726761,0.748586,0.735600,2.48e-04
16001,0.958211,0.908162,0.733559,0.748300,2.44e-04
16501,0.816526,0.766476,0.725444,0.747800,2.40e-04
17001,0.796143,0.746097,0.727086,0.746800,2.36e-04
17501,0.726923,0.676906,0.723957,0.749900,2.32e-04
18001,0.658893,0.608865,0.691625,0.758500,2.28e-04
18501,0.735352,0.685317,0.694417,0.762700,2.24e-04
19001,0.663509,0.613447,0.687100,0.765900,2.19e-04
19501,0.918750,0.868712,0.693402,0.760800,2.15e-04
20001,0.864986,0.814941,0.682080,0.765100,2.10e-04
20501,0.674161,0.624141,0.702904,0.762800,2.06e-04
21001,0.714000,0.663967,0.689587,0.761400,2.01e-04
21501,0.827054,0.777041,0.676059,0.768100,1.96e-04
22001,0.479647,0.429615,0.665720,0.774700,1.92e-04
22501,0.659978,0.609963,0.654666,0.774300,1.87e-04
23001,0.710545,0.660506,0.661826,0.772900,1.82e-04
23501,0.689347,0.639342,0.659847,0.772200,1.77e-04
24001,0.705378,0.655358,0.632399,0.785700,1.72e-04
24501,0.494117,0.444112,0.623760,0.787000,1.67e-04
25001,0.669908,0.619907,0.627787,0.786000,1.62e-04
25501,0.681671,0.631654,0.623578,0.787000,1.57e-04
26001,0.485393,0.435377,0.622047,0.787300,1.52e-04
26501,0.641332,0.591324,0.627171,0.788100,1.48e-04
27001,0.632566,0.582518,0.611139,0.789700,1.43e-04
27501,0.648962,0.598926,0.610334,0.791200,1.38e-04
28001,0.474480,0.424447,0.602872,0.795000,1.33e-04
28501,0.680468,0.630461,0.604783,0.796300,1.28e-04
29001,0.653184,0.603174,0.612101,0.798500,1.23e-04
29501,0.594606,0.544597,0.621477,0.792500,1.18e-04
30001,0.426690,0.376656,0.596121,0.799500,1.13e-04
30501,0.564920,0.514899,0.600986,0.793700,1.08e-04
31001,0.516097,0.466092,0.586995,0.803200,1.04e-04
31501,0.626269,0.576254,0.600587,0.796700,9.89e-05
32001,0.624920,0.574904,0.585875,0.804300,9.43e-05
32501,0.669491,0.619480,0.596352,0.799900,8.97e-05
33001,0.687040,0.637025,0.579477,0.806300,8.52e-05
33501,0.630417,0.580404,0.594101,0.805500,8.08e-05
34001,0.547751,0.497751,0.585313,0.805200,7.64e-05
34501,0.521047,0.471038,0.582566,0.802500,7.21e-05
35001,0.585264,0.535248,0.579511,0.810500,6.79e-05
35501,0.490017,0.440008,0.578708,0.806500,6.38e-05
36001,0.514946,0.464940,0.590523,0.802100,5.98e-05
36501,0.635828,0.585822,0.581536,0.808200,5.59e-05
37001,0.616810,0.566804,0.570279,0.808600,5.21e-05
37501,0.685772,0.635757,0.583783,0.806800,4.84e-05
38001,0.438891,0.388885,0.576332,0.807000,4.48e-05
38501,0.337088,0.287089,0.570218,0.808300,4.13e-05
39001,0.788466,0.738464,0.577209,0.805400,3.80e-05
39501,0.525354,0.475346,0.572416,0.806200,3.47e-05
40001,0.416004,0.365994,0.579600,0.806400,3.16e-05
40501,0.439283,0.389287,0.572956,0.805800,2.86e-05
41001,0.482549,0.432549,0.576248,0.808000,2.58e-05
41501,0.468568,0.418571,0.572905,0.809200,2.31e-05
42001,0.654956,0.604954,0.569537,0.809100,2.05e-05
42501,0.559966,0.509965,0.564386,0.810100,1.81e-05
43001,0.566774,0.516771,0.564662,0.811600,1.58e-05
43501,0.393687,0.343688,0.562249,0.812000,1.36e-05
44001,0.673456,0.623458,0.560242,0.811500,1.17e-05
44501,0.746979,0.696982,0.556790,0.814800,9.81e-06
45001,0.704217,0.654217,0.556665,0.815100,8.12e-06
45501,0.268440,0.218442,0.560907,0.813300,6.59e-06
46001,0.429954,0.379945,0.556281,0.814900,5.21e-06
46501,0.535088,0.485086,0.554892,0.815100,4.00e-06
47001,0.719068,0.669071,0.556463,0.814400,2.94e-06
47501,0.502605,0.452607,0.555426,0.813700,2.04e-06
48001,0.515617,0.465617,0.556044,0.814800,1.31e-06
48501,0.511743,0.461742,0.555963,0.814300,7.37e-07
49001,0.372717,0.322717,0.555812,0.814500,3.28e-07
49501,0.539975,0.489971,0.555786,0.814200,8.26e-08
