step,train_loss,task_loss,val_loss,val_accuracy,lr
501,5.199706,5.149459,5.149672,0.021100,3.96e-05
1001,5.030042,4.979224,4.943063,0.032700,1.12e-04
1501,4.680908,4.630301,4.652313,0.063600,2.01e-04
2001,4.448629,4.398208,4.406411,0.087000,2.73e-04
2501,4.376454,4.326164,4.232351,0.109400,3.00e-04
3001,4.434114,4.383681,4.098282,0.121600,3.00e-04
3501,3.974846,3.924775,4.038108,0.134000,3.00e-04
4001,3.876657,3.826527,3.909304,0.147500,2.99e-04
4501,4.079829,4.029728,3.856418,0.155800,2.99e-04
5001,3.472099,3.421975,3.757841,0.169600,2.98e-04
5501,3.911455,3.861312,3.680844,0.187600,2.97e-04
6001,3.371693,3.321594,3.625199,0.191300,2.96e-04
6501,3.387167,3.337137,3.633743,0.186800,2.95e-04
7001,3.713624,3.663530,3.566679,0.207500,2.93e-04
7501,3.754422,3.704336,3.476513,0.220900,2.92e-04
8001,3.773591,3.723508,3.462595,0.219500,2.90e-04
8501,3.189708,3.139668,3.445369,0.224700,2.88e-04
9001,3.489492,3.439324,3.380120,0.234000,2.86e-04
9501,3.442683,3.392617,3.330471,0.241200,2.84e-04
10001,3.506112,3.456100,3.352281,0.244000,2.82e-04
10501,3.043539,2.993485,3.334337,0.250000,2.79e-04
11001,3.274156,3.224057,3.248445,0.259800,2.77e-04
11501,3.650666,3.600640,3.223115,0.266800,2.74e-04
12001,2.916026,2.865924,3.200535,0.272600,2.71e-04
12501,3.352579,3.302525,3.141052,0.276600,2.68e-04
13001,2.965481,2.915441,3.158122,0.279600,2.65e-04
13501,3.396428,3.346369,3.138658,0.282900,2.62e-04
14001,2.749587,2.699569,3.094725,0.290900,2.59e-04
14501,2.843752,2.793715,3.100285,0.291500,2.55e-04
15001,2.975064,2.924943,3.101034,0.289800,2.52e-04
15501,3.212723,3.162714,3.030426,0.302100,2.48e-04
16001,2.846031,2.795982,3.027045,0.300900,2.44e-04
16501,2.805151,2.755114,3.001075,0.312900,2.40e-04
17001,3.208925,3.158901,2.975635,0.311800,2.36e-04
17501,2.609417,2.559372,2.983953,0.312700,2.32e-04
18001,2.534248,2.484180,2.970499,0.311000,2.28e-04
18501,2.732010,2.681978,2.946225,0.322700,2.24e-04
19001,2.842346,2.792293,2.875520,0.335200,2.19e-04
19501,2.798733,2.748696,2.872900,0.333800,2.15e-04
20001,2.669549,2.619507,2.845353,0.337100,2.10e-04
20501,3.122576,3.072541,2.868230,0.331900,2.06e-04
21001,2.828651,2.778637,2.843645,0.338800,2.01e-04
21501,2.686260,2.636226,2.802708,0.344600,1.96e-04
22001,2.405963,2.355940,2.789456,0.352200,1.92e-04
22501,2.688323,2.638289,2.860492,0.338200,1.87e-04
23001,2.836242,2.786234,2.842406,0.337600,1.82e-04
23501,2.304212,2.254195,2.796961,0.347700,1.77e-04
24001,2.859534,2.809522,2.782562,0.351500,1.72e-04
24501,2.644941,2.594912,2.742702,0.355100,1.67e-04
25001,3.014700,2.964689,2.743703,0.352800,1.62e-04
25501,2.728499,2.678478,2.735381,0.363000,1.57e-04
26001,2.738050,2.688023,2.720131,0.365400,1.52e-04
26501,2.817011,2.766956,2.689372,0.368700,1.48e-04
27001,2.989754,2.939735,2.695206,0.366300,1.43e-04
27501,2.543957,2.493941,2.666425,0.376000,1.38e-04
28001,2.633581,2.583565,2.661040,0.375200,1.33e-04
28501,2.529687,2.479663,2.717939,0.363900,1.28e-04
29001,2.340713,2.290715,2.692099,0.367700,1.23e-04
29501,2.572371,2.522335,2.657559,0.375600,1.18e-04
30001,2.168521,2.118506,2.628327,0.379700,1.13e-04
30501,2.176928,2.126920,2.630670,0.381000,1.08e-04
31001,2.761034,2.711017,2.646742,0.379200,1.04e-04
31501,2.289134,2.239130,2.603356,0.390100,9.89e-05
32001,2.093054,2.043044,2.617445,0.389400,9.43e-05
32501,2.541301,2.491266,2.600324,0.388800,8.97e-05
33001,2.270745,2.220740,2.619361,0.385300,8.52e-05
33501,2.608837,2.558833,2.602046,0.388700,8.08e-05
34001,2.317273,2.267267,2.599678,0.391400,7.64e-05
34501,2.167411,2.117403,2.595810,0.390100,7.21e-05
