step,train_loss,task_loss,val_loss,val_accuracy,lr
501,4.285053,4.234789,4.299110,0.046800,5.44e-05
1001,4.007535,3.956264,3.914205,0.096800,1.56e-04
1501,3.737500,3.687295,3.552113,0.153900,2.58e-04
2001,3.296372,3.245937,3.281489,0.201500,3.00e-04
2501,3.163981,3.113794,3.048435,0.241300,3.00e-04
3001,3.187609,3.137341,2.952262,0.262500,2.99e-04
3501,2.806010,2.755810,2.820907,0.279800,2.99e-04
4001,2.840876,2.790826,2.685340,0.316400,2.98e-04
4501,2.829604,2.779510,2.598614,0.329600,2.97e-04
5001,2.586434,2.536343,2.519712,0.339700,2.95e-04
5501,2.597127,2.547014,2.480457,0.349600,2.94e-04
6001,2.397309,2.347195,2.416118,0.368000,2.92e-04
6501,2.264956,2.214844,2.319476,0.387800,2.90e-04
7001,2.622593,2.572501,2.332925,0.381600,2.87e-04
7501,2.038372,1.988309,2.253180,0.398100,2.85e-04
8001,2.017960,1.967836,2.197857,0.421400,2.82e-04
8501,2.273602,2.223456,2.163663,0.427600,2.79e-04
9001,2.118496,2.068502,2.144313,0.425600,2.76e-04
9501,2.209037,2.159020,2.071254,0.442800,2.72e-04
10001,1.871261,1.821254,2.059488,0.447800,2.68e-04
10501,2.104484,2.054381,2.070695,0.443400,2.64e-04
11001,1.917995,1.867976,2.033049,0.447200,2.60e-04
11501,2.106911,2.056874,1.974838,0.464200,2.56e-04
12001,2.298696,2.248593,1.942015,0.477100,2.52e-04
12501,1.755081,1.705045,1.931032,0.474400,2.47e-04
13001,1.823762,1.773731,1.879730,0.491700,2.42e-04
13501,1.944104,1.894091,1.864252,0.490100,2.37e-04
14001,1.682059,1.632024,1.846131,0.499200,2.32e-04
14501,1.887866,1.837791,1.889740,0.490000,2.27e-04
15001,2.172265,2.122218,1.836951,0.496400,2.21e-04
15501,1.931175,1.881132,1.796883,0.512900,2.16e-04
16001,1.741805,1.691749,1.773450,0.519600,2.10e-04
16501,1.910064,1.860035,1.792949,0.507100,2.05e-04
17001,1.410748,1.360715,1.739947,0.518200,1.99e-04
17501,1.616619,1.566580,1.765124,0.518000,1.93e-04
18001,1.437349,1.387344,1.736550,0.524600,1.87e-04
18501,1.606459,1.556422,1.758021,0.520700,1.81e-04
19001,1.420654,1.370635,1.724391,0.535700,1.75e-04
19501,1.379264,1.329232,1.717021,0.531100,1.69e-04
20001,1.218817,1.168811,1.710008,0.536500,1.62e-04
20501,1.207698,1.157700,1.703806,0.536600,1.56e-04
21001,1.387359,1.337334,1.649200,0.545100,1.50e-04
21501,1.080964,1.030944,1.713617,0.538700,1.44e-04
22001,1.746508,1.696476,1.679571,0.544000,1.38e-04
22501,1.531777,1.481750,1.649156,0.554400,1.31e-04
23001,1.503665,1.453651,1.654404,0.553700,1.25e-04
23501,0.947836,0.897841,1.656108,0.555500,1.19e-04
24001,1.341129,1.291128,1.636586,0.557600,1.13e-04
24501,1.068346,1.018352,1.650964,0.558300,1.07e-04
25001,1.091521,1.041507,1.652487,0.553600,1.01e-04
25501,1.151901,1.101920,1.633359,0.562500,9.55e-05
26001,1.000875,0.950836,1.630207,0.563100,8.97e-05
26501,1.533982,1.483950,1.624067,0.566100,8.41e-05
27001,0.964525,0.914525,1.622559,0.568900,7.86e-05
27501,1.135524,1.085513,1.607766,0.571100,7.32e-05
28001,0.960722,0.910724,1.597438,0.572400,6.79e-05
28501,0.945110,0.895078,1.603735,0.575100,6.28e-05
29001,0.863002,0.812997,1.616266,0.572900,5.78e-05
29501,1.226334,1.176322,1.589130,0.576700,5.30e-05
30001,1.018196,0.968168,1.600396,0.577300,4.84e-05
30501,0.671818,0.621808,1.599965,0.577900,4.39e-05
31001,0.679060,0.629047,1.587993,0.580200,3.96e-05
31501,1.158649,1.108631,1.606344,0.575100,3.55e-05
32001,1.106789,1.056794,1.598357,0.577400,3.16e-05
32501,0.779710,0.729712,1.596555,0.579200,2.79e-05
33001,0.929809,0.879795,1.588531,0.577000,2.44e-05
33501,0.990635,0.940640,1.586538,0.583700,2.11e-05
34001,0.605843,0.555842,1.592908,0.581700,1.81e-05
34501,0.805553,0.755553,1.589343,0.580700,1.52e-05
35001,0.892103,0.842093,1.586964,0.582200,1.26e-05
35501,0.844659,0.794647,1.588422,0.582000,1.03e-05
36001,0.734018,0.684005,1.579365,0.581800,8.12e-06
36501,1.025678,0.975670,1.582114,0.581600,6.23e-06
37001,0.548193,0.498182,1.583031,0.578000,4.59e-06
37501,0.810805,0.760789,1.580028,0.579800,3.19e-06
38001,0.710616,0.660615,1.580309,0.581200,2.04e-06
