step,train_loss,task_loss,val_loss,val_accuracy,lr
501,5.245460,5.195210,5.131780,0.024900,5.44e-05
1001,4.798636,4.748184,4.901014,0.036800,1.56e-04
1501,4.643361,4.592687,4.594737,0.058900,2.58e-04
2001,4.335970,4.285477,4.350492,0.094400,3.00e-04
2501,4.367680,4.317282,4.173339,0.116200,3.00e-04
3001,4.072228,4.021894,4.037085,0.135200,2.99e-04
3501,4.038761,3.988710,3.939867,0.148000,2.99e-04
4001,4.078424,4.028228,3.866870,0.162300,2.98e-04
4501,3.964538,3.914407,3.805653,0.163300,2.97e-04
5001,3.887957,3.837942,3.721010,0.183800,2.95e-04
5501,3.912423,3.862374,3.697472,0.183300,2.94e-04
6001,3.759072,3.709000,3.697521,0.178700,2.92e-04
6501,3.521160,3.470958,3.588780,0.203000,2.90e-04
7001,3.493643,3.443517,3.518371,0.218200,2.87e-04
7501,3.743508,3.693341,3.443635,0.225500,2.85e-04
8001,3.810970,3.760872,3.513285,0.207100,2.82e-04
8501,3.770460,3.720362,3.401165,0.227900,2.79e-04
9001,2.953376,2.903298,3.398704,0.231100,2.76e-04
9501,3.198922,3.148905,3.329700,0.243500,2.72e-04
10001,3.004391,2.954334,3.288443,0.250100,2.68e-04
10501,3.267070,3.216901,3.269621,0.258900,2.64e-04
11001,3.363201,3.313160,3.249984,0.261700,2.60e-04
11501,3.239053,3.188855,3.206805,0.270000,2.56e-04
12001,2.886309,2.836190,3.192710,0.272000,2.52e-04
12501,3.484222,3.434155,3.247989,0.260800,2.47e-04
13001,3.537579,3.487543,3.224290,0.268000,2.42e-04
13501,2.992451,2.942390,3.129230,0.280800,2.37e-04
14001,2.942679,2.892633,3.131827,0.280200,2.32e-04
14501,2.822942,2.772919,3.124400,0.283000,2.27e-04
15001,2.985407,2.935377,3.129980,0.285100,2.21e-04
15501,3.340812,3.290765,3.054954,0.297800,2.16e-04
16001,3.117450,3.067408,3.028524,0.303500,2.10e-04
16501,2.824761,2.774732,3.018673,0.304500,2.05e-04
17001,2.970845,2.920818,3.020799,0.308600,1.99e-04
17501,2.703367,2.653341,3.024001,0.304200,1.93e-04
18001,2.930139,2.880136,2.943320,0.317000,1.87e-04
18501,2.907644,2.857638,2.936146,0.321800,1.81e-04
19001,2.826598,2.776558,2.916985,0.325900,1.75e-04
19501,2.784829,2.734772,2.925846,0.323600,1.69e-04
20001,2.460206,2.410156,2.916364,0.322300,1.62e-04
20501,2.887030,2.837003,2.881521,0.332600,1.56e-04
21001,2.720453,2.670450,2.881470,0.330100,1.50e-04
21501,2.731762,2.681761,2.849056,0.341000,1.44e-04
22001,2.567151,2.517149,2.856550,0.337500,1.38e-04
22501,2.567010,2.516986,2.814837,0.345700,1.31e-04
23001,2.467531,2.417511,2.830088,0.339600,1.25e-04
23501,2.547282,2.497276,2.827393,0.342300,1.19e-04
24001,2.842512,2.792479,2.806920,0.344200,1.13e-04
24501,2.757937,2.707919,2.780956,0.350000,1.07e-04
25001,2.648424,2.598385,2.787092,0.352800,1.01e-04
25501,2.763834,2.713812,2.785977,0.348000,9.55e-05
26001,1.988586,1.938558,2.730888,0.359500,8.97e-05
26501,2.527482,2.477464,2.727506,0.358900,8.41e-05
27001,2.300718,2.250711,2.723082,0.363100,7.86e-05
27501,2.361848,2.311823,2.724064,0.365200,7.32e-05
28001,1.892616,1.842600,2.717355,0.364200,6.79e-05
28501,2.686486,2.636446,2.708891,0.367300,6.28e-05
29001,2.506200,2.456173,2.705012,0.364300,5.78e-05
29501,2.408739,2.358726,2.700704,0.369000,5.30e-05
30001,2.218260,2.168259,2.683968,0.371500,4.84e-05
30501,2.167010,2.117008,2.702480,0.368600,4.39e-05
31001,2.046553,1.996554,2.673745,0.371400,3.96e-05
31501,2.635299,2.585294,2.659541,0.377700,3.55e-05
32001,2.087429,2.037425,2.675596,0.374900,3.16e-05
32501,2.269782,2.219772,2.654465,0.375000,2.79e-05
33001,2.265198,2.215190,2.642022,0.376300,2.44e-05
33501,2.025356,1.975354,2.662676,0.373000,2.11e-05
34001,2.877438,2.827436,2.641292,0.376200,1.81e-05
34501,1.994244,1.944227,2.641687,0.378700,1.52e-05
35001,2.069635,2.019609,2.646824,0.376700,1.26e-05
35501,2.056490,2.006482,2.632885,0.377300,1.03e-05
36001,2.286702,2.236700,2.613586,0.381700,8.12e-06
36501,2.040792,1.990778,2.632622,0.379500,6.23e-06
37001,2.006635,1.956628,2.626887,0.380600,4.59e-06
37501,1.870526,1.820523,2.624112,0.382400,3.19e-06
38001,2.001089,1.951076,2.618572,0.382800,2.04e-06
38501,1.860384,1.810381,2.618489,0.383400,1.15e-06
39001,2.626738,2.576741,2.616008,0.382300,5.11e-07
39501,2.258075,2.208076,2.614995,0.381100,1.28e-07
501,2.953882,2.903863,2.961672,0.322200,1.00e-04
1001,2.256110,2.206105,2.866704,0.337600,9.93e-05
1501,2.947521,2.897505,2.820707,0.344900,9.73e-05
2001,2.607772,2.557758,2.790042,0.351500,9.40e-05
2501,2.446537,2.396518,2.773386,0.358300,8.94e-05
3001,2.756174,2.706178,2.740696,0.362900,8.38e-05
3501,2.576064,2.526060,2.747972,0.362300,7.73e-05
4001,2.738564,2.688556,2.714966,0.364400,7.01e-05
4501,2.493114,2.443109,2.699766,0.371500,6.22e-05
5001,2.818509,2.768505,2.692164,0.372400,5.41e-05
5501,2.600412,2.550408,2.668234,0.376900,4.58e-05
6001,2.461206,2.411201,2.665314,0.377900,3.77e-05
6501,2.383178,2.333166,2.656526,0.380500,2.99e-05
7001,2.225475,2.175455,2.647973,0.383800,2.26e-05
7501,2.562043,2.512034,2.638016,0.385300,1.61e-05
8001,2.862124,2.812125,2.639531,0.385700,1.05e-05
8501,2.596210,2.546208,2.634930,0.385400,6.01e-06
9001,1.905348,1.855351,2.631367,0.386400,2.70e-06
9501,2.253302,2.203292,2.630318,0.385100,6.77e-07
