step,train_loss,task_loss,val_loss,val_accuracy,lr
501,1.976218,1.926016,2.029610,0.261700,3.96e-05
1001,1.763570,1.713312,1.858470,0.329000,1.12e-04
1501,1.944304,1.894153,1.573012,0.426300,2.01e-04
2001,1.298751,1.248572,1.389170,0.491200,2.73e-04
2501,1.568258,1.518133,1.300130,0.529400,3.00e-04
3001,1.280218,1.230155,1.271226,0.537900,3.00e-04
3501,1.030028,0.979881,1.210832,0.554400,3.00e-04
4001,1.389984,1.339871,1.208142,0.568900,2.99e-04
4501,1.054548,1.004480,1.133041,0.588500,2.99e-04
5001,1.106376,1.056277,1.105488,0.603700,2.98e-04
5501,1.125242,1.075096,1.064674,0.613300,2.97e-04
6001,1.342796,1.292737,1.060729,0.617400,2.96e-04
6501,1.389571,1.339536,1.015323,0.640800,2.95e-04
7001,1.129973,1.079782,1.002663,0.641500,2.93e-04
7501,1.095565,1.045515,1.049722,0.613300,2.92e-04
8001,1.146457,1.096366,0.934996,0.667000,2.90e-04
8501,0.870667,0.820634,0.921147,0.671900,2.88e-04
9001,0.879789,0.829740,0.926438,0.672400,2.86e-04
9501,1.129640,1.079609,0.865350,0.696500,2.84e-04
10001,0.970851,0.920780,0.882970,0.687900,2.82e-04
10501,1.059451,1.009434,0.872994,0.696900,2.79e-04
11001,1.011638,0.961584,0.868181,0.694600,2.77e-04
11501,1.054901,1.004883,0.863284,0.698000,2.74e-04
12001,0.835886,0.785781,0.837814,0.706800,2.71e-04
12501,0.845784,0.795753,0.837114,0.704200,2.68e-04
13001,1.121268,1.071179,0.814336,0.718400,2.65e-04
13501,1.010142,0.960097,0.794605,0.721800,2.62e-04
14001,1.003211,0.953128,0.797971,0.725800,2.59e-04
14501,0.960568,0.910551,0.783572,0.726600,2.55e-04
15001,0.748668,0.698666,0.781465,0.727500,2.52e-04
15501,0.882851,0.832821,0.757349,0.738500,2.48e-04
16001,0.757901,0.707863,0.772638,0.734800,2.44e-04
16501,0.790427,0.740394,0.768318,0.731900,2.40e-04
17001,0.790399,0.740363,0.757851,0.735900,2.36e-04
