step,train_loss,task_loss,val_loss,val_accuracy,lr
501,2.076800,2.026656,1.934183,0.267625,3.96e-05
1001,1.586307,1.535474,1.701246,0.351750,1.12e-04
1501,1.095043,1.043460,1.543857,0.416375,2.01e-04
2001,1.291529,1.241154,1.393041,0.488250,2.73e-04
2501,1.496509,1.446296,1.321482,0.509375,3.00e-04
3001,1.117935,1.067710,1.257708,0.529875,3.00e-04
3501,1.436764,1.386472,1.243222,0.546750,3.00e-04
4001,0.959068,0.908808,1.166741,0.581625,2.99e-04
4501,1.383240,1.333063,1.131852,0.588750,2.99e-04
5001,1.213195,1.163001,1.099401,0.596375,2.98e-04
5501,0.980444,0.930234,1.122027,0.602875,2.97e-04
6001,0.842695,0.792623,1.070511,0.620000,2.96e-04
6501,1.025713,0.975511,1.079152,0.616625,2.95e-04
7001,1.179329,1.129166,1.082892,0.620000,2.93e-04
7501,0.823096,0.772995,1.075667,0.636250,2.92e-04
8001,0.873931,0.823678,1.094089,0.633250,2.90e-04
8501,0.753803,0.703664,1.103455,0.637125,2.88e-04
9001,0.802905,0.752824,1.194323,0.615750,2.86e-04
9501,0.741945,0.691831,1.099433,0.638875,2.84e-04
10001,0.611538,0.561477,1.113432,0.638125,2.82e-04
10501,0.460575,0.410454,1.097767,0.653750,2.79e-04
11001,0.643010,0.592977,1.105039,0.656375,2.77e-04
11501,0.540698,0.490641,1.204139,0.626875,2.74e-04
12001,0.709252,0.659151,1.235421,0.638250,2.71e-04
12501,0.529556,0.479472,1.249634,0.639250,2.68e-04
13001,0.563963,0.513789,1.209584,0.643500,2.65e-04
13501,0.426838,0.376770,1.252022,0.636500,2.62e-04
14001,0.757347,0.707288,1.326956,0.640125,2.59e-04
14501,0.441448,0.391350,1.244447,0.659250,2.55e-04
15001,0.370454,0.320447,1.335249,0.652750,2.52e-04
15501,0.234780,0.184719,1.402722,0.637875,2.48e-04
16001,0.474201,0.424106,1.397001,0.644000,2.44e-04
16501,0.331964,0.281827,1.409104,0.649125,2.40e-04
17001,0.394248,0.344142,1.407116,0.648500,2.36e-04
17501,0.401477,0.351441,1.420750,0.640625,2.32e-04
18001,0.327457,0.277411,1.480263,0.644750,2.28e-04
18501,0.260952,0.210895,1.508299,0.645500,2.24e-04
19001,0.271875,0.221849,1.489907,0.655750,2.19e-04
19501,0.355732,0.305717,1.617272,0.647125,2.15e-04
20001,0.295948,0.245890,1.568602,0.648125,2.10e-04
20501,0.437758,0.387718,1.587087,0.649875,2.06e-04
21001,0.240199,0.190168,1.592931,0.650500,2.01e-04
21501,0.185471,0.135426,1.685296,0.647750,1.96e-04
22001,0.310719,0.260644,1.671177,0.649000,1.92e-04
22501,0.237865,0.187825,1.716903,0.642125,1.87e-04
23001,0.294137,0.244092,1.694536,0.645750,1.82e-04
23501,0.200478,0.150451,1.789123,0.646750,1.77e-04
24001,0.309708,0.259679,1.705643,0.656250,1.72e-04
24501,0.297477,0.247480,1.740713,0.650250,1.67e-04
25001,0.197421,0.147396,1.786580,0.644750,1.62e-04
25501,0.315779,0.265758,1.782919,0.649000,1.57e-04
26001,0.156286,0.106256,1.848197,0.649125,1.52e-04
26501,0.100995,0.050968,1.780081,0.662625,1.48e-04
27001,0.141102,0.091006,1.861604,0.649625,1.43e-04
27501,0.249979,0.199966,1.822811,0.652750,1.38e-04
28001,0.150353,0.100318,1.933104,0.648125,1.33e-04
28501,0.297161,0.247097,1.876801,0.658500,1.28e-04
29001,0.112709,0.062687,1.997260,0.644875,1.23e-04
29501,0.082364,0.032340,1.911113,0.652250,1.18e-04
30001,0.061846,0.011831,1.983745,0.653250,1.13e-04
30501,0.189706,0.139705,2.018430,0.647125,1.08e-04
31001,0.167532,0.117488,1.995524,0.653500,1.04e-04
31501,0.152312,0.102287,2.020067,0.658875,9.89e-05
32001,0.126331,0.076309,2.060668,0.651250,9.43e-05
32501,0.148251,0.098263,2.084359,0.656125,8.97e-05
33001,0.263795,0.213782,2.032695,0.663625,8.52e-05
33501,0.159930,0.109920,2.077218,0.655875,8.08e-05
34001,0.113325,0.063326,2.127980,0.657625,7.64e-05
34501,0.113090,0.063096,2.130093,0.656375,7.21e-05
35001,0.186802,0.136789,2.139862,0.655750,6.79e-05
35501,0.100277,0.050260,2.153649,0.666500,6.38e-05
36001,0.084025,0.034018,2.199958,0.656750,5.98e-05
36501,0.089805,0.039799,2.210621,0.654750,5.59e-05
37001,0.111565,0.061560,2.193460,0.663250,5.21e-05
37501,0.178938,0.128924,2.262416,0.660625,4.84e-05
38001,0.162803,0.112794,2.252469,0.663500,4.48e-05
38501,0.187195,0.137187,2.291246,0.662500,4.13e-05
39001,0.105882,0.055872,2.291944,0.660875,3.80e-05
39501,0.216696,0.166696,2.310353,0.666625,3.47e-05
40001,0.075214,0.025215,2.333783,0.662375,3.16e-05
40501,0.079263,0.029262,2.350229,0.660875,2.86e-05
41001,0.058506,0.008499,2.294373,0.664875,2.58e-05
41501,0.112237,0.062237,2.350039,0.659375,2.31e-05
42001,0.135355,0.085342,2.375291,0.663750,2.05e-05
42501,0.072425,0.022421,2.393972,0.662125,1.81e-05
43001,0.067477,0.017477,2.398212,0.664375,1.58e-05
43501,0.145541,0.095539,2.386040,0.661750,1.36e-05
44001,0.058934,0.008926,2.407387,0.665500,1.17e-05
44501,0.074731,0.024730,2.404496,0.663375,9.81e-06
45001,0.052053,0.002040,2.402436,0.665500,8.12e-06
45501,0.088943,0.038945,2.410278,0.665500,6.59e-06
46001,0.093230,0.043223,2.417356,0.665500,5.21e-06
46501,0.080773,0.030768,2.409330,0.664750,4.00e-06
47001,0.164401,0.114399,2.403637,0.668000,2.94e-06
47501,0.070564,0.020565,2.406454,0.666250,2.04e-06
48001,0.053933,0.003923,2.417205,0.664375,1.31e-06
48501,0.068124,0.018123,2.417557,0.665875,7.37e-07
49001,0.125717,0.075710,2.416921,0.664875,3.28e-07
49501,0.102215,0.052210,2.417044,0.665125,8.26e-08
