step,train_loss,task_loss,val_loss,val_accuracy,lr
501,5.197555,5.147275,5.150984,0.021200,3.96e-05
1001,5.041970,4.991380,4.946214,0.031800,1.12e-04
1501,4.708722,4.658020,4.671468,0.060200,2.01e-04
2001,4.493440,4.443050,4.424193,0.082800,2.73e-04
2501,4.468843,4.418630,4.251290,0.107300,3.00e-04
3001,4.412984,4.362750,4.117433,0.115400,3.00e-04
3501,3.968486,3.918425,4.060452,0.128100,3.00e-04
4001,3.890538,3.840423,3.944927,0.142300,2.99e-04
4501,4.257534,4.207174,3.880909,0.151800,2.99e-04
5001,3.628315,3.577983,3.834653,0.160200,2.98e-04
5501,3.928927,3.878806,3.754905,0.176200,2.97e-04
6001,3.568343,3.518291,3.701757,0.180000,2.96e-04
6501,3.441419,3.391351,3.677445,0.183500,2.95e-04
7001,3.689796,3.639637,3.649246,0.192200,2.93e-04
7501,3.781845,3.731756,3.577633,0.205400,2.92e-04
8001,3.769494,3.719380,3.548670,0.201400,2.90e-04
8501,3.351558,3.301536,3.526696,0.210700,2.88e-04
9001,3.506578,3.456530,3.458466,0.220800,2.86e-04
9501,3.559894,3.509834,3.445707,0.228600,2.84e-04
10001,3.548629,3.498516,3.390628,0.233300,2.82e-04
10501,3.168996,3.118984,3.413143,0.230000,2.79e-04
11001,3.360662,3.310601,3.362589,0.241300,2.77e-04
11501,3.790629,3.740528,3.352714,0.244400,2.74e-04
12001,3.113937,3.063907,3.318825,0.253000,2.71e-04
12501,3.500271,3.450191,3.275015,0.256300,2.68e-04
13001,3.148890,3.098853,3.301926,0.255300,2.65e-04
13501,3.605188,3.555184,3.263692,0.258500,2.62e-04
14001,2.853308,2.803201,3.208376,0.269900,2.59e-04
14501,2.986934,2.936891,3.225492,0.265800,2.55e-04
15001,3.094913,3.044851,3.230720,0.264100,2.52e-04
15501,3.298844,3.248823,3.176775,0.277300,2.48e-04
16001,2.957793,2.907780,3.179878,0.273800,2.44e-04
16501,3.027674,2.977625,3.165118,0.280400,2.40e-04
17001,3.343142,3.293110,3.137740,0.281700,2.36e-04
17501,3.022981,2.972960,3.158590,0.278700,2.32e-04
18001,2.570688,2.520663,3.117212,0.287100,2.28e-04
18501,2.870072,2.820034,3.122170,0.285700,2.24e-04
19001,2.973475,2.923418,3.063602,0.298000,2.19e-04
19501,2.978041,2.928010,3.038901,0.297900,2.15e-04
20001,2.992615,2.942569,2.993077,0.310900,2.10e-04
20501,3.411153,3.361130,3.062212,0.297700,2.06e-04
21001,3.013783,2.963759,3.039467,0.298700,2.01e-04
21501,2.945358,2.895337,2.984005,0.307300,1.96e-04
22001,2.736937,2.686895,2.959668,0.318400,1.92e-04
22501,2.835971,2.785943,3.022929,0.305000,1.87e-04
23001,2.952505,2.902494,3.014606,0.306400,1.82e-04
23501,2.623435,2.573426,3.004848,0.309800,1.77e-04
24001,3.015460,2.965441,3.017209,0.305700,1.72e-04
24501,2.839304,2.789285,2.923534,0.322200,1.67e-04
25001,3.226000,3.175994,2.918265,0.325900,1.62e-04
25501,2.961055,2.911051,2.921219,0.323000,1.57e-04
26001,2.920115,2.870100,2.918945,0.319800,1.52e-04
26501,3.002120,2.952113,2.913084,0.323900,1.48e-04
27001,3.060172,3.010148,2.898417,0.328400,1.43e-04
27501,2.620438,2.570434,2.875064,0.332800,1.38e-04
28001,2.850732,2.800716,2.886516,0.330800,1.33e-04
28501,2.797332,2.747332,2.892095,0.331300,1.28e-04
29001,2.714190,2.664165,2.909470,0.332600,1.23e-04
29501,2.703758,2.653733,2.879773,0.334100,1.18e-04
30001,2.543324,2.493284,2.836170,0.339500,1.13e-04
30501,2.415077,2.365076,2.839005,0.338600,1.08e-04
31001,2.986930,2.936925,2.865200,0.336000,1.04e-04
31501,2.621585,2.571582,2.800247,0.350400,9.89e-05
32001,2.315648,2.265643,2.788504,0.348300,9.43e-05
32501,2.961514,2.911517,2.828625,0.341400,8.97e-05
33001,2.527468,2.477460,2.823921,0.344200,8.52e-05
33501,2.903044,2.853033,2.804695,0.346500,8.08e-05
34001,2.622909,2.572900,2.789688,0.352300,7.64e-05
34501,2.237979,2.187963,2.810432,0.347700,7.21e-05
35001,2.694964,2.644963,2.772983,0.354300,6.79e-05
35501,2.385465,2.335469,2.802196,0.348400,6.38e-05
36001,2.793945,2.743938,2.767702,0.354700,5.98e-05
36501,2.598711,2.548707,2.802159,0.350300,5.59e-05
