step,train_loss,task_loss,val_loss,val_accuracy,lr
501,4.469539,4.419393,4.411366,0.034400,3.96e-05
1001,4.162350,4.111545,4.083576,0.073400,1.12e-04
1501,3.652690,3.602331,3.721025,0.129000,2.01e-04
2001,3.540616,3.490445,3.411096,0.176800,2.73e-04
2501,3.071153,3.021054,3.164187,0.221000,3.00e-04
3001,3.418752,3.368593,2.989273,0.256400,3.00e-04
3501,3.102099,3.052016,2.868848,0.276100,3.00e-04
4001,2.492063,2.441868,2.757368,0.298500,2.99e-04
4501,2.430008,2.379978,2.744908,0.302700,2.99e-04
5001,2.615340,2.565213,2.643546,0.318300,2.98e-04
5501,2.409877,2.359771,2.554185,0.343500,2.97e-04
6001,2.441295,2.391210,2.595687,0.336700,2.96e-04
6501,2.618180,2.568079,2.440955,0.367500,2.95e-04
7001,2.523596,2.473569,2.389396,0.373400,2.93e-04
7501,2.212566,2.162518,2.322455,0.391400,2.92e-04
8001,2.627405,2.577368,2.293744,0.395000,2.90e-04
8501,2.225890,2.175816,2.282567,0.400100,2.88e-04
9001,2.236900,2.186821,2.234783,0.408100,2.86e-04
9501,2.010670,1.960634,2.205762,0.415000,2.84e-04
10001,2.184099,2.134054,2.184057,0.418100,2.82e-04
10501,1.927556,1.877511,2.135758,0.428200,2.79e-04
11001,2.239265,2.189211,2.124991,0.432300,2.77e-04
11501,1.994509,1.944502,2.070774,0.442200,2.74e-04
12001,2.351794,2.301744,2.068647,0.450600,2.71e-04
12501,2.310634,2.260563,2.055327,0.449300,2.68e-04
13001,1.879992,1.829901,2.023756,0.459700,2.65e-04
13501,1.691760,1.641711,1.971477,0.470700,2.62e-04
14001,2.063879,2.013824,1.967593,0.470400,2.59e-04
14501,1.836591,1.786529,1.941840,0.474900,2.55e-04
15001,2.192160,2.142157,1.918530,0.481700,2.52e-04
15501,1.640816,1.590766,1.885752,0.483900,2.48e-04
16001,1.871946,1.821910,1.876115,0.487500,2.44e-04
16501,1.700778,1.650747,1.860583,0.493200,2.40e-04
17001,1.682071,1.632032,1.841804,0.501300,2.36e-04
17501,1.980764,1.930757,1.840438,0.495500,2.32e-04
18001,2.060933,2.010919,1.825915,0.508400,2.28e-04
18501,1.658768,1.608730,1.826772,0.504900,2.24e-04
19001,1.874509,1.824464,1.820362,0.501300,2.19e-04
19501,1.780598,1.730589,1.801032,0.510500,2.15e-04
20001,1.609287,1.559246,1.780627,0.517200,2.10e-04
20501,2.159299,2.109292,1.766602,0.515300,2.06e-04
21001,1.687664,1.637654,1.763456,0.524500,2.01e-04
21501,1.340489,1.290477,1.758138,0.526000,1.96e-04
22001,1.960801,1.910791,1.742646,0.529400,1.92e-04
22501,1.683448,1.633435,1.737105,0.529400,1.87e-04
23001,1.648091,1.598083,1.761282,0.523900,1.82e-04
23501,1.524230,1.474215,1.715222,0.534100,1.77e-04
24001,1.842878,1.792874,1.705767,0.531400,1.72e-04
24501,1.884186,1.834163,1.696065,0.538500,1.67e-04
25001,1.507604,1.457584,1.692544,0.538900,1.62e-04
25501,1.589167,1.539155,1.666490,0.544800,1.57e-04
26001,1.873944,1.823929,1.673290,0.546700,1.52e-04
26501,1.303800,1.253785,1.663689,0.547700,1.48e-04
27001,1.548499,1.498471,1.660733,0.548500,1.43e-04
27501,1.587881,1.537870,1.656744,0.550000,1.38e-04
28001,1.312915,1.262917,1.638584,0.552000,1.33e-04
28501,2.056435,2.006416,1.640335,0.556600,1.28e-04
29001,1.447872,1.397835,1.649867,0.553100,1.23e-04
29501,1.365729,1.315702,1.641636,0.554800,1.18e-04
30001,1.275584,1.225570,1.625786,0.558400,1.13e-04
30501,1.446987,1.396950,1.619648,0.561100,1.08e-04
31001,1.257655,1.207632,1.618027,0.562600,1.04e-04
31501,1.322158,1.272138,1.618627,0.563400,9.89e-05
32001,1.399527,1.349532,1.610837,0.562300,9.43e-05
32501,1.209226,1.159218,1.600804,0.567300,8.97e-05
33001,1.067123,1.017113,1.596466,0.567800,8.52e-05
33501,1.247304,1.197285,1.603308,0.563600,8.08e-05
34001,1.171071,1.121058,1.588528,0.570000,7.64e-05
34501,1.194931,1.144921,1.593909,0.570500,7.21e-05
35001,1.161474,1.111482,1.593667,0.570200,6.79e-05
35501,1.086441,1.036439,1.592545,0.570200,6.38e-05
36001,1.288509,1.238506,1.583945,0.573200,5.98e-05
36501,1.412076,1.362074,1.578895,0.575800,5.59e-05
37001,1.323268,1.273271,1.581449,0.572500,5.21e-05
37501,1.037804,0.987808,1.568862,0.581500,4.84e-05
38001,1.337543,1.287534,1.564525,0.576600,4.48e-05
38501,0.955268,0.905266,1.569931,0.577900,4.13e-05
39001,0.987383,0.937376,1.562800,0.580200,3.80e-05
39501,1.207918,1.157912,1.562418,0.577000,3.47e-05
40001,1.098035,1.048037,1.562806,0.579500,3.16e-05
40501,1.035632,0.985623,1.554643,0.580600,2.86e-05
41001,1.044353,0.994350,1.556729,0.579100,2.58e-05
41501,1.148678,1.098671,1.555219,0.579900,2.31e-05
42001,1.348312,1.298315,1.553056,0.582500,2.05e-05
42501,1.184427,1.134426,1.555598,0.581100,1.81e-05
43001,0.959475,0.909475,1.548383,0.582700,1.58e-05
43501,1.158348,1.108336,1.545416,0.584800,1.36e-05
44001,1.129465,1.079470,1.546594,0.582800,1.17e-05
44501,1.172502,1.122501,1.544052,0.585500,9.81e-06
45001,1.310454,1.260448,1.543728,0.584000,8.12e-06
45501,1.120559,1.070563,1.543607,0.581200,6.59e-06
46001,1.311697,1.261698,1.543739,0.583900,5.21e-06
46501,0.996575,0.946575,1.543861,0.584900,4.00e-06
47001,1.151945,1.101940,1.542475,0.585400,2.94e-06
47501,1.001120,0.951111,1.541625,0.585500,2.04e-06
48001,1.433890,1.383891,1.540801,0.583100,1.31e-06
48501,1.168160,1.118163,1.540809,0.583600,7.37e-07
49001,0.968210,0.918203,1.539759,0.583900,3.28e-07
49501,1.007263,0.957262,1.539819,0.584000,8.26e-08
