step,train_loss,task_loss,val_loss,val_accuracy,lr
501,5.241650,5.191460,5.191669,0.015900,3.96e-05
1001,5.097576,5.046718,4.983905,0.029500,1.12e-04
1501,4.719450,4.668912,4.727698,0.056000,2.01e-04
2001,4.502594,4.452212,4.463365,0.082400,2.73e-04
2501,4.468999,4.418607,4.288377,0.101700,3.00e-04
3001,4.466097,4.415936,4.141708,0.121400,3.00e-04
3501,4.175684,4.125496,4.087686,0.127900,3.00e-04
4001,3.853787,3.803635,3.946295,0.146400,2.99e-04
4501,4.195035,4.144930,3.892372,0.154600,2.99e-04
5001,3.518907,3.468721,3.854925,0.158300,2.98e-04
5501,3.864468,3.814357,3.734961,0.181400,2.97e-04
6001,3.442377,3.392270,3.711152,0.185500,2.96e-04
6501,3.717407,3.667351,3.696084,0.185400,2.95e-04
7001,3.668579,3.618487,3.640506,0.195500,2.93e-04
7501,3.901712,3.851562,3.608334,0.195600,2.92e-04
8001,3.684673,3.634570,3.549751,0.213200,2.90e-04
8501,3.272413,3.222382,3.521556,0.214900,2.88e-04
9001,3.664907,3.614853,3.476645,0.221200,2.86e-04
9501,3.548259,3.498201,3.467110,0.226800,2.84e-04
10001,3.430230,3.380162,3.478734,0.224400,2.82e-04
10501,3.324032,3.274009,3.411692,0.231000,2.79e-04
11001,3.457118,3.407102,3.363859,0.246200,2.77e-04
11501,3.684557,3.634455,3.323512,0.249900,2.74e-04
12001,3.210528,3.160401,3.302934,0.253300,2.71e-04
12501,3.406698,3.356651,3.268887,0.259500,2.68e-04
13001,3.188977,3.138915,3.239989,0.262600,2.65e-04
13501,3.727672,3.677628,3.277389,0.257700,2.62e-04
14001,2.765632,2.715573,3.192161,0.275000,2.59e-04
14501,3.010246,2.960206,3.173640,0.275500,2.55e-04
15001,3.055037,3.005007,3.153110,0.279900,2.52e-04
15501,3.450040,3.399977,3.113400,0.282800,2.48e-04
16001,2.929193,2.879154,3.115647,0.280700,2.44e-04
16501,3.111261,3.061229,3.094736,0.291400,2.40e-04
17001,3.342581,3.292547,3.084092,0.292000,2.36e-04
17501,2.743834,2.693809,3.044411,0.296600,2.32e-04
18001,2.793151,2.743116,3.049156,0.299200,2.28e-04
18501,2.827487,2.777439,3.025922,0.303200,2.24e-04
19001,2.879056,2.829015,2.978191,0.312600,2.19e-04
19501,2.980129,2.930108,2.983944,0.313100,2.15e-04
20001,2.756082,2.706064,2.961111,0.318100,2.10e-04
20501,3.456182,3.406153,2.958456,0.318800,2.06e-04
21001,2.870656,2.820628,2.939761,0.326100,2.01e-04
21501,2.860305,2.810227,2.933685,0.323900,1.96e-04
22001,2.713806,2.663766,2.899722,0.332500,1.92e-04
22501,2.914327,2.864317,2.910403,0.328300,1.87e-04
23001,3.061866,3.011841,2.893082,0.332200,1.82e-04
23501,2.497467,2.447436,2.881150,0.330700,1.77e-04
24001,2.977898,2.927893,2.863496,0.335600,1.72e-04
24501,2.795804,2.745783,2.863930,0.337900,1.67e-04
25001,3.045290,2.995263,2.831367,0.339700,1.62e-04
25501,2.957017,2.906996,2.822749,0.345600,1.57e-04
26001,2.869817,2.819786,2.818038,0.343700,1.52e-04
26501,3.050371,3.000295,2.790485,0.350100,1.48e-04
27001,3.173804,3.123791,2.797935,0.351800,1.43e-04
27501,2.575156,2.525142,2.776073,0.354600,1.38e-04
28001,2.890678,2.840676,2.785402,0.350800,1.33e-04
28501,2.721255,2.671234,2.769463,0.355500,1.28e-04
29001,2.493758,2.443746,2.765406,0.353900,1.23e-04
29501,2.522378,2.472375,2.747671,0.360200,1.18e-04
30001,2.330751,2.280731,2.733782,0.367600,1.13e-04
30501,2.273172,2.223162,2.734522,0.361100,1.08e-04
31001,2.902987,2.852980,2.719720,0.369000,1.04e-04
31501,2.554412,2.504397,2.714379,0.370100,9.89e-05
32001,2.294492,2.244490,2.707945,0.366700,9.43e-05
32501,2.729577,2.679569,2.687916,0.372100,8.97e-05
33001,2.444388,2.394385,2.695012,0.373100,8.52e-05
33501,2.879449,2.829437,2.689465,0.374400,8.08e-05
34001,2.472663,2.422662,2.676616,0.375200,7.64e-05
34501,2.228056,2.178049,2.683406,0.377300,7.21e-05
35001,2.727180,2.677170,2.671389,0.376600,6.79e-05
35501,2.326793,2.276787,2.670956,0.377200,6.38e-05
36001,2.550415,2.500411,2.665995,0.378100,5.98e-05
36501,2.518329,2.468328,2.661656,0.375800,5.59e-05
37001,2.294200,2.244196,2.645259,0.381800,5.21e-05
37501,2.434353,2.384344,2.640701,0.382800,4.84e-05
38001,2.483815,2.433808,2.645772,0.385500,4.48e-05
38501,2.173490,2.123493,2.634308,0.384300,4.13e-05
39001,2.697183,2.647179,2.626580,0.386800,3.80e-05
39501,2.005381,1.955364,2.635180,0.384200,3.47e-05
