step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
0,22,6.269e-07,1.530e-06,2.440e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,23,1.439e-06,1.530e-06,1.063e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,27,1.113e-05,1.530e-06,1.375e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,28,2.516e-05,1.530e-06,6.082e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,32,1.392e-06,1.530e-06,1.099e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,33,2.870e-06,1.530e-06,5.330e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,37,1.770e-05,1.530e-06,8.644e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,38,3.763e-05,1.530e-06,4.066e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,56,7.844e-07,1.530e-06,1.950e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,57,1.520e-06,1.530e-06,1.006e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,61,1.596e-05,1.530e-06,9.586e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,62,3.016e-05,1.530e-06,5.073e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,66,7.496e-06,1.530e-06,2.041e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,67,1.938e-05,1.530e-06,7.894e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,71,5.996e-06,1.530e-06,2.552e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,72,1.280e-05,1.530e-06,1.195e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,90,2.152e-05,1.530e-06,7.110e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,91,4.262e-05,1.530e-06,3.590e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,95,4.330e-06,1.530e-06,3.533e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,96,9.366e-06,1.530e-06,1.634e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,100,4.514e-07,1.530e-06,3.389e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,101,9.946e-07,1.530e-06,1.538e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,105,1.717e-06,1.530e-06,8.913e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,106,4.104e-06,1.530e-06,3.728e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,124,3.904e-06,1.530e-06,3.919e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,125,7.653e-06,1.530e-06,1.999e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,129,1.090e-05,1.530e-06,1.403e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,130,2.540e-05,1.530e-06,6.025e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,134,1.085e-05,1.530e-06,1.410e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,135,2.665e-05,1.530e-06,5.740e-02,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,139,1.059e-06,1.530e-06,1.444e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,140,2.570e-06,1.530e-06,5.954e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
100,22,6.097e-07,3.397e-06,5.572e+00,1.603e-06,1.047e-03,0.2177,0.6121,0.1121
100,23,1.410e-06,3.380e-06,2.397e+00,2.030e-06,8.119e-04,0.2177,0.6121,0.1121
100,27,1.581e-05,3.347e-06,2.118e-01,1.040e-05,3.656e-04,0.2177,0.6121,0.1121
100,28,3.325e-05,3.335e-06,1.003e-01,2.432e-05,2.651e-04,0.2177,0.6121,0.1121
100,32,1.243e-06,3.391e-06,2.729e+00,1.870e-06,9.610e-04,0.2177,0.6121,0.1121
100,33,2.289e-06,3.371e-06,1.473e+00,2.655e-06,6.835e-04,0.2177,0.6121,0.1121
