step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
0,22,6.269e-07,1.530e-07,2.440e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,23,1.439e-06,1.530e-07,1.063e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,27,1.113e-05,1.530e-07,1.375e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,28,2.516e-05,1.530e-07,6.082e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,32,1.392e-06,1.530e-07,1.099e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,33,2.870e-06,1.530e-07,5.330e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,37,1.770e-05,1.530e-07,8.644e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,38,3.763e-05,1.530e-07,4.066e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,56,7.844e-07,1.530e-07,1.950e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,57,1.520e-06,1.530e-07,1.006e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,61,1.596e-05,1.530e-07,9.586e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,62,3.016e-05,1.530e-07,5.073e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,66,7.496e-06,1.530e-07,2.041e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,67,1.938e-05,1.530e-07,7.894e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,71,5.996e-06,1.530e-07,2.552e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,72,1.280e-05,1.530e-07,1.195e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,90,2.152e-05,1.530e-07,7.110e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,91,4.262e-05,1.530e-07,3.590e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,95,4.330e-06,1.530e-07,3.533e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,96,9.366e-06,1.530e-07,1.634e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,100,4.514e-07,1.530e-07,3.389e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,101,9.946e-07,1.530e-07,1.538e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,105,1.717e-06,1.530e-07,8.913e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,106,4.104e-06,1.530e-07,3.728e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,124,3.904e-06,1.530e-07,3.919e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,125,7.653e-06,1.530e-07,1.999e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,129,1.090e-05,1.530e-07,1.403e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,130,2.540e-05,1.530e-07,6.025e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,134,1.085e-05,1.530e-07,1.410e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,135,2.665e-05,1.530e-07,5.740e-03,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
