step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
0,22,1.286e-07,1.530e-08,1.190e-01,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,23,2.979e-07,1.530e-08,5.136e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,27,2.474e-06,1.530e-08,6.185e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,28,5.617e-06,1.530e-08,2.724e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,32,2.800e-07,1.530e-08,5.464e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,33,5.310e-07,1.530e-08,2.881e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,37,3.648e-06,1.530e-08,4.194e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,38,7.938e-06,1.530e-08,1.927e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,56,1.723e-07,1.530e-08,8.879e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,57,3.601e-07,1.530e-08,4.248e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,61,3.376e-06,1.530e-08,4.532e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,62,6.482e-06,1.530e-08,2.360e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,66,1.619e-06,1.530e-08,9.449e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,67,3.789e-06,1.530e-08,4.038e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,71,1.061e-06,1.530e-08,1.442e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,72,2.386e-06,1.530e-08,6.413e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,90,4.454e-06,1.530e-08,3.435e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,91,9.076e-06,1.530e-08,1.686e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,95,7.247e-07,1.530e-08,2.111e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,96,1.431e-06,1.530e-08,1.069e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,100,9.097e-08,1.530e-08,1.682e-01,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,101,1.994e-07,1.530e-08,7.672e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,105,3.957e-07,1.530e-08,3.866e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,106,9.439e-07,1.530e-08,1.621e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,124,8.805e-07,1.530e-08,1.738e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,125,1.773e-06,1.530e-08,8.629e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,129,2.274e-06,1.530e-08,6.727e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,130,4.768e-06,1.530e-08,3.209e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,134,2.537e-06,1.530e-08,6.029e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,135,5.917e-06,1.530e-08,2.586e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,139,2.865e-07,1.530e-08,5.340e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,140,6.588e-07,1.530e-08,2.323e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
100,22,1.305e-07,1.853e-06,1.419e+01,6.660e-07,1.347e-03,0.1184,0.6090,0.1090
100,23,3.138e-07,1.845e-06,5.880e+00,7.089e-07,1.250e-03,0.1184,0.6090,0.1090
100,27,3.091e-06,1.825e-06,5.905e-01,2.253e-06,6.615e-04,0.1184,0.6090,0.1090
100,28,6.973e-06,1.816e-06,2.605e-01,4.688e-06,3.644e-04,0.1184,0.6090,0.1090
100,32,2.349e-07,1.850e-06,7.875e+00,6.971e-07,1.303e-03,0.1184,0.6090,0.1090
100,33,4.996e-07,1.841e-06,3.686e+00,7.864e-07,1.166e-03,0.1184,0.6090,0.1090
100,37,2.903e-06,1.824e-06,6.282e-01,2.457e-06,6.061e-04,0.1184,0.6090,0.1090
100,38,6.845e-06,1.817e-06,2.654e-01,5.254e-06,3.351e-04,0.1184,0.6090,0.1090
100,56,2.167e-07,1.851e-06,8.538e+00,6.812e-07,1.329e-03,0.1184,0.6090,0.1090
100,57,6.140e-07,1.843e-06,3.001e+00,7.465e-07,1.210e-03,0.1184,0.6090,0.1090
