step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
0,22,1.286e-07,1.530e-07,1.190e+00,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,23,2.979e-07,1.530e-07,5.136e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,27,2.474e-06,1.530e-07,6.185e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,28,5.617e-06,1.530e-07,2.724e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,32,2.800e-07,1.530e-07,5.464e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,33,5.310e-07,1.530e-07,2.881e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,37,3.648e-06,1.530e-07,4.194e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,38,7.938e-06,1.530e-07,1.927e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,56,1.723e-07,1.530e-07,8.879e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,57,3.601e-07,1.530e-07,4.248e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,61,3.376e-06,1.530e-07,4.532e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,62,6.482e-06,1.530e-07,2.360e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,66,1.619e-06,1.530e-07,9.449e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,67,3.789e-06,1.530e-07,4.038e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,71,1.061e-06,1.530e-07,1.442e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,72,2.386e-06,1.530e-07,6.413e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,90,4.454e-06,1.530e-07,3.435e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,91,9.076e-06,1.530e-07,1.686e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,95,7.247e-07,1.530e-07,2.111e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,96,1.431e-06,1.530e-07,1.069e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,100,9.097e-08,1.530e-07,1.682e+00,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,101,1.994e-07,1.530e-07,7.672e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,105,3.957e-07,1.530e-07,3.866e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,106,9.439e-07,1.530e-07,1.621e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,124,8.805e-07,1.530e-07,1.738e-01,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,125,1.773e-06,1.530e-07,8.629e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,129,2.274e-06,1.530e-07,6.727e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,130,4.768e-06,1.530e-07,3.209e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
0,134,2.537e-06,1.530e-07,6.029e-02,0.000e+00,0.000e+00,0.0100,0.6225,0.1225
